method,candidate_set_contains_truth,classifier,diagnostic_declared_mode_change,event_time_s,false_mode_alarm_under_load,missed_mode_change,pre_mode,run_id,scenario_id,schema_version,seed,sg_level,target_mode_detected_within_20s,true_mode_after,true_source
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003000,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3000,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003000,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3000,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003001,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3001,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003001,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3001,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003002,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3002,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003002,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3002,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003003,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3003,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003003,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3003,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003004,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3004,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003004,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3004,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003005,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3005,A,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003005,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3005,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003006,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3006,A,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003006,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3006,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003007,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3007,A,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003007,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3007,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003008,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3008,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003008,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3008,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003009,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3009,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003009,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3009,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003010,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3010,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003010,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3010,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003011,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3011,A,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003011,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3011,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003012,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3012,A,False,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003012,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3012,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003013,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3013,A,True,nominal,load_only
P_old,True,evaluation_only_bayes_correct_candidates,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003013,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3013,A,False,nominal,load_only
P_old,True,current_native_diagnostic,True,60.0,True,False,nominal,phase-b1::final::sg-A::S1_step_pos_006::P_old::seed-003014,S1_step_pos_006,d5freq.phase_b1.compact_episode_audits.v1,3014,A,True,nominal,load_only
