scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_count,both_success,method_only_failure,reference_only_failure,both_failure,method_failure_rate,reference_failure_rate,failure_rate_difference,method_safety_failure_rate,reference_safety_failure_rate,safety_failure_rate_difference,common_success_pair_count,scenario_count,method_scenario_balanced_mean,reference_scenario_balanced_mean,scenario_balanced_absolute_effect,scenario_balanced_relative_effect,absolute_ci95_low,absolute_ci95_high,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,episode_ratio_mean_diagnostic_only,episode_ratio_minus_primary,failure_penalty_value,penalized_method_mean,penalized_reference_mean,penalized_relative_effect,primary_estimator
overall,ALL,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,720,718,2,0,0,0.002777777777777778,0.0,0.002777777777777778,0.002777777777777778,0.0,0.002777777777777778,718,24,1.1484892947478522,1.3278677611569891,-0.1793784664091369,-0.13508759806988763,-0.4281489535882041,0.040479019190201054,-0.28407439024729036,0.03441706572914424,0.14358564143585642,-0.04402195639879952,0.0910656416710881,3.688040951830456,1.154148412863811,1.3280800763718068,-0.13096474120985319,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,720,718,2,0,0,0.002777777777777778,0.0,0.002777777777777778,0.002777777777777778,0.0,0.002777777777777778,718,24,0.2168638194234964,0.2151805273292179,0.0016832920942784768,0.007822697133291735,0.0007388100361548314,0.002811310856543305,0.003374321348590551,0.01422855896306077,0.0021997800219978004,0.02741877012651305,0.019596072993221313,0.3823914645569052,0.21714752514811464,0.21517252417480118,0.009178685712256725,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,720,718,2,0,0,0.002777777777777778,0.0,0.002777777777777778,0.002777777777777778,0.0,0.002777777777777778,718,24,0.7991339027198244,0.6580007948633778,0.14113310785644662,0.21448774675986584,-0.05039094822944425,0.33017075417165853,-0.06340588288613583,0.5960409092847571,0.17678232176782321,0.5252573897770771,0.31076964301721133,3.2525498784416658,0.8058013699202924,0.6581502717156301,0.2243425317135758,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,ALL,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,720,718,2,0,0,0.002777777777777778,0.0,0.002777777777777778,0.002777777777777778,0.0,0.002777777777777778,718,24,0.8813584426281175,0.7878012343081767,0.09355720831994074,0.11875737717280915,-0.37112215546106114,0.5360318297010408,-0.3188682823928734,1.1183061594767396,0.6887311268873113,1.9752671352872682,1.856509758114459,6.11749461267736,0.8957069801407848,0.7885699664959164,0.13586240688437784,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,240,240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,240,8,1.09567415345836,1.0651933935770836,0.03048075988127641,0.02861523556667707,-0.12055376783573402,0.2034784547920323,-0.1263614701681529,0.1674869504585861,0.7734375,0.04165537814559602,0.013040142578918952,3.321821704636676,1.09567415345836,1.0651933935770836,0.02861523556667707,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,240,240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,240,8,0.21464835843676522,0.21389132771915106,0.0007570307176141544,0.00353932403752325,-0.0003809741687046973,0.002185353364270781,-0.0021504590322786623,0.009056759637951288,0.4296875,-0.00040158864217092123,-0.003940912679694171,0.3823914645569052,0.21464835843676522,0.21389132771915106,0.00353932403752325,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,240,240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,240,8,0.9816186232799705,0.8240239169288162,0.15759470635115436,0.19125016047898072,-0.2947550607805868,0.6099444734828954,-0.2632075080269902,0.9546118178535205,0.484375,0.5669165878688727,0.375666427389892,3.2525498784416658,0.9816186232799705,0.8240239169288162,0.19125016047898072,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,240,240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,240,8,0.8781272083537931,0.7076718763610385,0.17045533199275464,0.24086774914563952,-0.5345020503613838,0.8779859766204423,-0.42322096216797217,2.6650745985822963,0.609375,1.9519175377270044,1.711049788581365,6.111859733248039,0.8781272083537931,0.7076718763610385,0.24086774914563952,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.497304222069194,0.4972666951844557,3.7526884738292576e-05,7.546631435747448e-05,,,,,1.0,0.00014368228282273375,6.821596846525926e-05,0.6844117808810051,0.497304222069194,0.4972666951844557,7.546631435747448e-05,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.011925154319925446,0.0119176537989056,7.500521019845885e-06,0.0006293622172960469,,,,,1.0,0.0009090269123026395,0.00027966469500659264,0.019253695950837875,0.011925154319925446,0.0119176537989056,0.0006293622172960469,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.7207318639432934,0.7216571768576743,-0.0009253129143809158,-0.0012822056567219683,,,,,1.0,-0.0010626759623890787,0.00021952969433288957,0.9792277514773364,0.7207318639432934,0.7216571768576743,-0.0012822056567219683,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.43859076359825233,0.4394193265041695,-0.0008285629059171518,-0.0018855859447713431,,,,,1.0,-0.00157084153604153,0.00031474440872981306,0.5963873150341243,0.43859076359825233,0.4394193265041695,-0.0018855859447713431,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_006,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.9262425272770684,0.9833860306019185,-0.05714350332485019,-0.058108923196593866,,,,,1.0,-0.008208861698722661,0.049900061497871205,1.9856322450523844,0.9262425272770684,0.9833860306019185,-0.058108923196593866,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_006,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.24906375595406574,0.24907400018498546,-1.0244230919720376e-05,-4.112926645138417e-05,,,,,1.0,-3.8851481353156354e-05,2.277785098227815e-06,0.3135794373311191,0.24906375595406574,0.24907400018498546,-4.112926645138417e-05,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_006,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5735883094041117,0.5915475167760061,-0.017959207371894492,-0.03035970376441438,,,,,1.0,-0.020784342269556322,0.009575361494858058,0.8905424547922711,0.5735883094041117,0.5915475167760061,-0.03035970376441438,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_pos_006,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.34266591576419586,0.35346575906157385,-0.010799843297377987,-0.03055414285686623,,,,,1.0,-0.022314729794652335,0.008239413062213895,0.5228070744087339,0.34266591576419586,0.35346575906157385,-0.03055414285686623,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_050,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.9009829093461993,1.1216537347324926,-0.22067082538629335,-0.19673703082611493,,,,,1.0,-0.19586686750295884,0.0008701633231560923,1.5969894967563014,0.9009829093461993,1.1216537347324926,-0.19673703082611493,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_050,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.28610750163303267,0.28479154616379226,0.001315955469240404,0.004620767318997447,,,,,1.0,0.004620680630691517,-8.668830593031723e-08,0.3606675305071617,0.28610750163303267,0.28479154616379226,0.004620767318997447,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_050,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.9684331487968139,0.3204512363081928,0.647981912488621,2.022092097236994,,,,,1.0,2.0273568162551223,0.0052647190181285275,1.3815620175702419,0.9684331487968139,0.3204512363081928,2.022092097236994,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_050,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.7998248934131923,0.12082003193371559,0.6790048614794767,5.619969227056595,,,,,1.0,5.690961030464704,0.07099180340810918,1.1258523107142282,0.7998248934131923,0.12082003193371559,5.619969227056595,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_060,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.9316703172569674,1.1105813756178182,-0.17891105836085086,-0.16109675732795567,,,,,1.0,-0.1602591479027761,0.0008376094251795752,1.7357141172667225,0.9316703172569674,1.1105813756178182,-0.16109675732795567,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_060,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.2861491705823286,0.28481725380011363,0.001331916782214948,0.004676390788985328,,,,,1.0,0.004696782548210007,2.0391759224678598e-05,0.3600553692333234,0.2861491705823286,0.28481725380011363,0.004676390788985328,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_060,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.9595868949431564,0.35824668400299803,0.6013402109401584,1.6785646254163962,,,,,1.0,1.6876575063770847,0.009092880960688499,1.3637002748118912,0.9595868949431564,0.35824668400299803,1.6785646254163962,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S2_sluggish_switch_060,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.787764223492633,0.147100902670743,0.6406633208218899,4.355264374249907,,,,,1.0,4.476028038183633,0.12076366393372595,1.1274499951761439,0.787764223492633,0.147100902670743,4.355264374249907,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S3_derated_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,2.106174058441641,1.61397422067219,0.492199837769451,0.30496139991905136,,,,,1.0,0.5655436877353843,0.26058228781633297,3.321821704636676,2.106174058441641,1.61397422067219,0.30496139991905136,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S3_derated_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.2704177465356367,0.2703690170274798,4.8729508156930557e-05,0.00018023332959034202,,,,,1.0,0.00017936077755219046,-8.725520381515611e-07,0.3420903047914776,0.2704177465356367,0.2703690170274798,0.00018023332959034202,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S3_derated_coincident,A,worst_mode_cost_penalty,C1_true_arx_worst,C0_true_arx_expected,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1.0050490837097124,2.143827651492623,-1.1387785677829105,-0.5311894204695257,,,,,1.0,-0.5223358719119349,0.008853548557590796,3.2525498784416658,1.0050490837097124,2.143827651492623,-0.5311894204695257,scenario_balanced_paired_difference_and_ratio_of_means
