sg_level,cost_ratio_ibr_to_sg,total_cost_improvement_fraction,frequency_iae_improvement_fraction,failure_rate_difference,frequency_value_candidate,cost_value_candidate,materiality_gate_passed
A,0.25,0.005953428160699382,0.03537639753715039,0.0,False,False,False
A,0.5,-0.08125916166531795,0.03537639753715039,0.0,False,False,False
A,1.0,-0.2544181481647142,0.03537639753715039,0.0,False,False,False
A,2.0,-0.5957563143634566,0.03537639753715039,0.0,False,False,False
B,0.25,0.4562001218390326,0.0032408660710932288,0.0,False,True,True
B,0.5,0.30148326854939667,0.0032408660710932288,0.0,False,True,True
B,1.0,-0.005390663494722978,0.0032408660710932288,0.0,False,False,True
B,2.0,-0.6090949122520273,0.0032408660710932288,0.0,False,False,True
C,0.25,0.4302661746850361,0.47068257780314454,-0.09523809523809523,True,True,True
C,0.5,0.2751249471554114,0.47068257780314454,-0.09523809523809523,True,True,True
C,1.0,-0.02954373814518469,0.47068257780314454,-0.09523809523809523,False,False,True
C,2.0,-0.6173516577856709,0.47068257780314454,-0.09523809523809523,False,False,True
