sg_level,cost_ratio_ibr_to_sg,attempted_pair_count,both_success,method_only_failure,reference_only_failure,both_failure,b5_failure_rate,b0_failure_rate,failure_rate_difference,safety_rate_difference,frequency_iae_improvement_fraction,frequency_iae_ci95_low,frequency_iae_ci95_high,max_frequency_improvement_fraction,total_cost_improvement_fraction,penalized_frequency_iae_improvement_fraction,failure_noninferior,safety_noninferior,frequency_value_candidate,cost_value_candidate,candidate_gate,b5_benchmark_classification,b5_is_exact_optimal_oracle,supporting_cost_ratio_count,materiality_gate_passed,interpretation
A,0.25,690,690,0,0,0,0.0,0.0,0.0,0.0,0.03537639753715039,-0.049755794177082945,0.11814507024779153,-0.026234776685384015,0.005953428160699382,0.03537639753715039,True,True,False,False,False,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,0,False,materiality_not_established_by_corrected_phase_b1
A,0.5,690,690,0,0,0,0.0,0.0,0.0,0.0,0.03537639753715039,-0.049755794177082945,0.11814507024779153,-0.026234776685384015,-0.08125916166531795,0.03537639753715039,True,True,False,False,False,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,0,False,materiality_not_established_by_corrected_phase_b1
A,1.0,690,690,0,0,0,0.0,0.0,0.0,0.0,0.03537639753715039,-0.049755794177082945,0.11814507024779153,-0.026234776685384015,-0.2544181481647142,0.03537639753715039,True,True,False,False,False,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,0,False,materiality_not_established_by_corrected_phase_b1
A,2.0,690,690,0,0,0,0.0,0.0,0.0,0.0,0.03537639753715039,-0.049755794177082945,0.11814507024779153,-0.026234776685384015,-0.5957563143634566,0.03537639753715039,True,True,False,False,False,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,0,False,materiality_not_established_by_corrected_phase_b1
B,0.25,690,690,0,0,0,0.0,0.0,0.0,0.0,0.0032408660710932288,-0.14587822965916003,0.11725155850642445,-0.019883928308593053,0.4562001218390326,0.0032408660710932288,True,True,False,True,True,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,2,True,candidate_materiality_but_b5_not_a_credible_optimal_ceiling
B,0.5,690,690,0,0,0,0.0,0.0,0.0,0.0,0.0032408660710932288,-0.14587822965916003,0.11725155850642445,-0.019883928308593053,0.30148326854939667,0.0032408660710932288,True,True,False,True,True,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,2,True,candidate_materiality_but_b5_not_a_credible_optimal_ceiling
B,1.0,690,690,0,0,0,0.0,0.0,0.0,0.0,0.0032408660710932288,-0.14587822965916003,0.11725155850642445,-0.019883928308593053,-0.005390663494722978,0.0032408660710932288,True,True,False,False,False,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,2,True,candidate_materiality_but_b5_not_a_credible_optimal_ceiling
B,2.0,690,690,0,0,0,0.0,0.0,0.0,0.0,0.0032408660710932288,-0.14587822965916003,0.11725155850642445,-0.019883928308593053,-0.6090949122520273,0.0032408660710932288,True,True,False,False,False,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,2,True,candidate_materiality_but_b5_not_a_credible_optimal_ceiling
C,0.25,690,630,0,60,0,0.0,0.09523809523809523,-0.09523809523809523,-0.09523809523809523,0.47068257780314454,0.3956129862358811,0.5217047259604076,-0.008084808478676377,0.4302661746850361,0.6252131113520604,True,True,True,True,True,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,2,True,candidate_materiality_but_b5_not_a_credible_optimal_ceiling
C,0.5,690,630,0,60,0,0.0,0.09523809523809523,-0.09523809523809523,-0.09523809523809523,0.47068257780314454,0.3956129862358811,0.5217047259604076,-0.008084808478676377,0.2751249471554114,0.6252131113520604,True,True,True,True,True,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,2,True,candidate_materiality_but_b5_not_a_credible_optimal_ceiling
C,1.0,690,630,0,60,0,0.0,0.09523809523809523,-0.09523809523809523,-0.09523809523809523,0.47068257780314454,0.3956129862358811,0.5217047259604076,-0.008084808478676377,-0.02954373814518469,0.6252131113520604,True,True,False,False,False,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,2,True,candidate_materiality_but_b5_not_a_credible_optimal_ceiling
C,2.0,690,630,0,60,0,0.0,0.09523809523809523,-0.09523809523809523,-0.09523809523809523,0.47068257780314454,0.3956129862358811,0.5217047259604076,-0.008084808478676377,-0.6173516577856709,0.6252131113520604,True,True,False,False,False,exact_plant_finite_action_constant_shooting_not_optimal_oracle,False,2,True,candidate_materiality_but_b5_not_a_credible_optimal_ceiling
