scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_count,both_success,method_only_failure,reference_only_failure,both_failure,method_failure_rate,reference_failure_rate,failure_rate_difference,method_safety_failure_rate,reference_safety_failure_rate,safety_failure_rate_difference,common_success_pair_count,scenario_count,method_scenario_balanced_mean,reference_scenario_balanced_mean,scenario_balanced_absolute_effect,scenario_balanced_relative_effect,absolute_ci95_low,absolute_ci95_high,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,episode_ratio_mean_diagnostic_only,episode_ratio_minus_primary,failure_penalty_value,penalized_method_mean,penalized_reference_mean,penalized_relative_effect,primary_estimator
overall,ALL,ALL,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,2070,2070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2070,63,1.0818325098518553,1.103690989000063,-0.02185847914820771,-0.019804890468491865,-0.13280419299579396,0.09527507066128349,-0.11709594100325511,0.08846209038660172,0.7168283171682832,0.08129160662074356,0.10109649708923542,5.406872375533366,1.0818325098518553,1.103690989000063,-0.019804890468491865,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,ALL,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,2070,2070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2070,63,0.23222806987106873,0.22969133818427212,0.002536731686796606,0.011044089458704309,0.0008253626801147565,0.004358215518826865,0.003443356145597851,0.019845613748726208,0.007699230076992301,0.07254992100315466,0.06150583154445035,0.5278680771696118,0.23222806987106873,0.22969133818427212,0.011044089458704309,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,ALL,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,2070,2070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2070,63,0.7355269154214015,0.05950423280423278,0.6760226826171687,11.3609175475174,0.594086939664851,0.7690521119136902,9.364030100175126,13.90792155868009,9.999000099990002e-05,13.679677754498691,2.318760206981292,3.3133636407719913,0.7355269154214015,0.05950423280423278,11.3609175475174,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,ALL,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,2070,2070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2070,63,0.7755340960217759,0.11857037037037037,0.6569637256514056,5.540707375706863,0.4839713421547699,0.8610135324689645,3.835477386366308,8.148304950303075,9.999000099990002e-05,8.433628060299196,2.8929206845923323,6.156707626672487,0.7755340960217759,0.11857037037037037,5.540707375706863,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,690,690,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,690,21,0.9893893505095441,0.9689819444487439,0.02040740606080027,0.021060666999744862,-0.1554119944845011,0.21257397628186783,-0.14658210464007357,0.23895636849338253,0.8347165283471653,0.14485807681903096,0.1237974098192861,3.2602949655733604,0.9893893505095441,0.9689819444487439,0.021060666999744862,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,690,690,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,690,21,0.23063245271894153,0.23060852740230242,2.3925316639111793e-05,0.00010374862069767903,-0.002786728096383452,0.0031038296218158486,-0.011130658831068105,0.015292313995054678,0.988001199880012,0.07018925538951602,0.07008550676881835,0.504600553992235,0.23063245271894153,0.23060852740230242,0.00010374862069767903,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,690,690,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,690,21,0.8770590614855155,0.08736190476190477,0.7896971567236107,9.039376589554031,0.6056348699979947,1.0070725772372657,6.497449460137748,12.504514178441616,9.999000099990002e-05,8.758541286862144,-0.2808353026918873,3.3133636407719913,0.8770590614855155,0.08736190476190477,9.039376589554031,scenario_balanced_paired_difference_and_ratio_of_means
overall,ALL,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,690,690,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,690,21,0.7589774122340351,0.16512380952380953,0.5938536027102256,3.5964141356888732,0.3364490314360061,0.922131871509201,1.8755468714263162,6.829905774721185,9.999000099990002e-05,5.7719384690913405,2.175524333402467,6.150733158677059,0.7589774122340351,0.16512380952380953,3.5964141356888732,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5034444394301919,0.5828633398249491,-0.07941890039475719,-0.1362564686580031,,,,,1.0,-0.08095030055470259,0.055306168103300496,1.592532864564068,0.5034444394301919,0.5828633398249491,-0.1362564686580031,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.012573885099933006,0.012282843615650359,0.00029104148428264753,0.02369495968440182,,,,,1.0,0.0534259671798167,0.02973100749541488,0.026816957787540875,0.012573885099933006,0.012282843615650359,0.02369495968440182,scenario_balanced_paired_difference_and_ratio_of_means
