scenario_id,sg_level,ibr_to_sg_cost_ratio,total_cost_relative_improvement,total_cost_noninferior_within_2_percent
coincident_communication_load,adequate,0.25,,False
coincident_communication_load,adequate,0.5,,False
coincident_communication_load,adequate,1.0,,False
coincident_communication_load,adequate,2.0,,False
coincident_communication_load,critical,0.25,-2.0659971675398014,False
coincident_communication_load,critical,0.5,-4.409199270614752,False
coincident_communication_load,critical,1.0,-8.978955983413456,False
coincident_communication_load,critical,2.0,-17.678107649388714,False
coincident_communication_load,scarce,0.25,-0.8638447364685522,False
coincident_communication_load,scarce,0.5,-2.041430282196298,False
coincident_communication_load,scarce,1.0,-4.36682178793527,False
coincident_communication_load,scarce,2.0,-8.901942592593539,False
load_only_step,adequate,0.25,-0.25999993006018096,False
load_only_step,adequate,0.5,-0.7193012639490632,False
load_only_step,adequate,1.0,-1.6322807902772412,False
load_only_step,adequate,2.0,-3.4360659439358,False
load_only_step,critical,0.25,-1.0111629328008171,False
load_only_step,critical,0.5,-2.312428277751353,False
load_only_step,critical,1.0,-4.874388663156106,False
load_only_step,critical,2.0,-9.841810815945262,False
load_only_step,scarce,0.25,-0.5169605792727123,False
load_only_step,scarce,0.5,-1.2956447817541576,False
load_only_step,scarce,1.0,-2.837799911143228,False
load_only_step,scarce,2.0,-5.86262628000213,False
