event,seed,sg_level,noise_multiplier,detection_delay_s,censored,Tcritical_s,detected_before_critical,source_confusion,information_gramian,detector_scope,regime,source_confusion_correct
nominal_to_headroom_or_current_limited,800,scarce,0.5,18.6,False,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,801,scarce,0.5,,True,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,802,scarce,0.5,7.2,False,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,803,scarce,0.5,,True,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,804,scarce,0.5,11.3,False,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,800,scarce,1.0,,True,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,801,scarce,1.0,17.1,False,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,802,scarce,1.0,,True,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,803,scarce,1.0,,True,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,804,scarce,1.0,2.0,False,3.2000000000000015,True,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,800,scarce,2.0,,True,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,801,scarce,2.0,,True,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,802,scarce,2.0,7.4,False,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,803,scarce,2.0,,True,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_headroom_or_current_limited,804,scarce,2.0,4.5,False,3.2000000000000015,False,load,0.0002372732342869991,best_case_same_load_counterfactual,headroom_or_current_limited,False
nominal_to_energy_limited,800,scarce,0.5,18.6,False,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,801,scarce,0.5,,True,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,802,scarce,0.5,7.2,False,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,803,scarce,0.5,,True,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,804,scarce,0.5,11.3,False,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,800,scarce,1.0,,True,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,801,scarce,1.0,17.1,False,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,802,scarce,1.0,,True,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,803,scarce,1.0,,True,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,804,scarce,1.0,2.0,False,3.2000000000000015,True,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,800,scarce,2.0,,True,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,801,scarce,2.0,,True,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,802,scarce,2.0,7.4,False,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,803,scarce,2.0,,True,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_energy_limited,804,scarce,2.0,4.5,False,3.2000000000000015,False,load,0.0,best_case_same_load_counterfactual,energy_limited,False
nominal_to_communication_degraded,800,scarce,0.5,18.6,False,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,801,scarce,0.5,,True,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,802,scarce,0.5,7.2,False,8.799999999999985,True,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,803,scarce,0.5,,True,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,804,scarce,0.5,11.3,False,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,800,scarce,1.0,,True,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,801,scarce,1.0,17.1,False,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,802,scarce,1.0,,True,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,803,scarce,1.0,,True,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,804,scarce,1.0,2.0,False,8.799999999999985,True,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,800,scarce,2.0,,True,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,801,scarce,2.0,,True,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,802,scarce,2.0,7.4,False,8.799999999999985,True,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,803,scarce,2.0,,True,8.799999999999985,False,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_communication_degraded,804,scarce,2.0,4.5,False,8.799999999999985,True,load,0.0,best_case_same_load_counterfactual,communication_degraded,False
nominal_to_service_disabled,800,scarce,0.5,18.6,False,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,801,scarce,0.5,,True,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,802,scarce,0.5,7.2,False,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,803,scarce,0.5,,True,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,804,scarce,0.5,11.3,False,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,800,scarce,1.0,,True,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,801,scarce,1.0,17.1,False,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,802,scarce,1.0,,True,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,803,scarce,1.0,,True,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,804,scarce,1.0,2.0,False,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,800,scarce,2.0,,True,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,801,scarce,2.0,,True,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,802,scarce,2.0,7.4,False,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,803,scarce,2.0,,True,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_service_disabled,804,scarce,2.0,4.5,False,1.8000000000000005,False,load,0.0,best_case_same_load_counterfactual,service_disabled,False
nominal_to_recovery,800,scarce,0.5,18.6,False,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,801,scarce,0.5,,True,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,802,scarce,0.5,7.2,False,7.499999999999989,True,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,803,scarce,0.5,,True,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,804,scarce,0.5,11.3,False,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,800,scarce,1.0,,True,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,801,scarce,1.0,17.1,False,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,802,scarce,1.0,,True,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,803,scarce,1.0,,True,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,804,scarce,1.0,2.0,False,7.499999999999989,True,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,800,scarce,2.0,,True,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,801,scarce,2.0,,True,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,802,scarce,2.0,7.4,False,7.499999999999989,True,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,803,scarce,2.0,,True,7.499999999999989,False,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_recovery,804,scarce,2.0,4.5,False,7.499999999999989,True,load,0.0005328081116433356,best_case_same_load_counterfactual,recovery,False
nominal_to_structural_ood,800,scarce,0.5,18.6,False,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,801,scarce,0.5,,True,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,802,scarce,0.5,7.5,False,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,803,scarce,0.5,,True,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,804,scarce,0.5,11.3,False,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,800,scarce,1.0,,True,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,801,scarce,1.0,17.1,False,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,802,scarce,1.0,,True,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,803,scarce,1.0,,True,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,804,scarce,1.0,2.0,False,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,800,scarce,2.0,,True,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
nominal_to_structural_ood,801,scarce,2.0,,True,1.8000000000000005,False,load,0.0037485653000870044,best_case_same_load_counterfactual,structural_ood,False
