split,method,failure_class,count
final_known,O2_current_capability_nmpc,frequency_or_ace_failure,18
final_known,O2_current_capability_nmpc,success,42
final_known,O3_clairvoyant_ceiling,not_evaluated,60
final_known,fixed_allocation,frequency_or_ace_failure,7
final_known,fixed_allocation,success,53
final_known,nominal_mpc,frequency_or_ace_failure,7
final_known,nominal_mpc,success,53
final_known,proposed_set_adaptive_mpc,success,60
final_known,rls_adaptive_mpc,frequency_or_ace_failure,7
final_known,rls_adaptive_mpc,success,53
final_known,robust_capability_set_mpc,success,60
final_known,sg_only_pi,success,60
final_ood,O2_current_capability_nmpc,frequency_or_ace_failure,34
final_ood,O2_current_capability_nmpc,success,66
final_ood,O3_clairvoyant_ceiling,not_evaluated,100
final_ood,fixed_allocation,frequency_or_ace_failure,21
final_ood,fixed_allocation,success,79
final_ood,nominal_mpc,frequency_or_ace_failure,21
final_ood,nominal_mpc,success,79
final_ood,proposed_set_adaptive_mpc,success,100
final_ood,rls_adaptive_mpc,frequency_or_ace_failure,21
final_ood,rls_adaptive_mpc,success,79
final_ood,robust_capability_set_mpc,success,100
final_ood,sg_only_pi,success,100
