split,seed,plant,scenario,sg,method,failure_class
final_known,1000,A,energy_low,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1000,B,energy_low,scarce,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1000,B,energy_low,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1001,A,service_disabled,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1001,B,service_disabled,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1002,A,nominal,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1002,B,nominal,adequate,fixed_allocation,frequency_or_ace_failure
final_known,1002,B,nominal,adequate,nominal_mpc,frequency_or_ace_failure
final_known,1002,B,nominal,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_known,1002,B,nominal,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1002,B,nominal,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1003,A,headroom,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1003,B,headroom,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1004,A,ramp,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1004,B,ramp,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1004,B,ramp,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1005,A,delay,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1005,B,delay,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1005,B,delay,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1006,A,energy_low,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1006,B,energy_low,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1007,A,service_disabled,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1007,B,service_disabled,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1008,A,nominal,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1008,B,nominal,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1008,B,nominal,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1009,A,headroom,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1009,B,headroom,scarce,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1009,B,headroom,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1010,A,ramp,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1010,B,ramp,critical,fixed_allocation,frequency_or_ace_failure
final_known,1010,B,ramp,critical,nominal_mpc,frequency_or_ace_failure
final_known,1010,B,ramp,critical,rls_adaptive_mpc,frequency_or_ace_failure
final_known,1010,B,ramp,critical,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1010,B,ramp,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1011,A,delay,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1011,B,delay,adequate,fixed_allocation,frequency_or_ace_failure
final_known,1011,B,delay,adequate,nominal_mpc,frequency_or_ace_failure
final_known,1011,B,delay,adequate,rls_adaptive_mpc,frequency_or_ace_failure
final_known,1011,B,delay,adequate,O2_current_capability_nmpc,frequency_or_ace_failure
final_known,1011,B,delay,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1012,A,energy_low,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1012,B,energy_low,scarce,O3_clairvoyant_ceiling,not_evaluated
final_known,1013,A,service_disabled,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1013,B,service_disabled,critical,O3_clairvoyant_ceiling,not_evaluated
final_known,1014,A,nominal,adequate,O3_clairvoyant_ceiling,not_evaluated
final_known,1014,B,nominal,adequate,fixed_allocation,frequency_or_ace_failure
final_known,1014,B,nominal,adequate,nominal_mpc,frequency_or_ace_failure
final_known,1014,B,nominal,adequate,rls_adaptive_mpc,frequency_or_ace_failure
