split,scenario,method,scientific_success,frequency_iae,ace_iae,max_abs_frequency_hz
final_known,delay,O2_current_capability_nmpc,0.5,195.3936458009085,132.4668894601444,1.803488939725294
final_known,delay,fixed_allocation,0.8,101.37954513310778,65.95976799561122,1.0614243116740079
final_known,delay,nominal_mpc,0.8,101.37954513310778,65.95976799561122,1.0614243116740079
final_known,delay,proposed_set_adaptive_mpc,1.0,3.0753195292100397,1.2477481969350968,0.14012633455730775
final_known,delay,rls_adaptive_mpc,0.8,100.75802558167146,65.51790775517563,1.0572730036319538
final_known,delay,robust_capability_set_mpc,1.0,2.609944786301657,0.8169281837323318,0.1344779157942697
final_known,delay,sg_only_pi,1.0,10.96566184475501,6.684094836223373,0.13442086722577407
final_known,energy_low,O2_current_capability_nmpc,0.9,38.26925918057438,13.223796145404606,0.38561375175081924
final_known,energy_low,fixed_allocation,1.0,5.552156095933197,1.9034201332604894,0.09505156318634209
final_known,energy_low,nominal_mpc,1.0,5.552156095933197,1.9034201332604894,0.09505156318634209
final_known,energy_low,proposed_set_adaptive_mpc,1.0,1.5974387067450577,0.4277775921081215,0.08094389124148531
final_known,energy_low,rls_adaptive_mpc,1.0,4.217689005438478,1.0101930929523262,0.09541997507739798
final_known,energy_low,robust_capability_set_mpc,1.0,1.5603563207530844,0.3522938057986994,0.08094451650994625
final_known,energy_low,sg_only_pi,1.0,6.940682638467682,4.224728244556814,0.08094576713784968
final_known,headroom,O2_current_capability_nmpc,0.8,26.457061223363418,18.15068471744065,0.3987628417323862
final_known,headroom,fixed_allocation,1.0,10.495677345283479,2.9288278819778277,0.19712999275870266
final_known,headroom,nominal_mpc,1.0,10.495677345283479,2.9288278819778277,0.19712999275870266
final_known,headroom,proposed_set_adaptive_mpc,1.0,4.404980869713519,2.5737107508830572,0.16320466555801083
final_known,headroom,rls_adaptive_mpc,1.0,9.289373222926532,2.0466216117123537,0.19847593186824228
final_known,headroom,robust_capability_set_mpc,1.0,3.17261371219708,1.0591949258480446,0.16149024124190853
final_known,headroom,sg_only_pi,1.0,12.624703119691397,7.693291553169641,0.16140466838916506
final_known,nominal,O2_current_capability_nmpc,0.5,315.3761549791737,227.76600461763528,2.4277336447583595
final_known,nominal,fixed_allocation,0.7,205.91672948647198,147.91254047595913,1.7287222990665416
final_known,nominal,nominal_mpc,0.7,205.91672948647198,147.91254047595913,1.7287222990665416
final_known,nominal,proposed_set_adaptive_mpc,1.0,2.0282256090278414,0.5330972201278996,0.10313977170617741
final_known,nominal,rls_adaptive_mpc,0.7,205.9170994278671,147.91276947722648,1.7287222990665416
final_known,nominal,robust_capability_set_mpc,1.0,1.9519117152595917,0.45245407409113303,0.10314070960886881
final_known,nominal,sg_only_pi,1.0,8.511105991654148,5.176205919575922,0.10314258555072395
final_known,ramp,O2_current_capability_nmpc,0.5,300.94696963904534,215.85085982922382,2.218854804077437
final_known,ramp,fixed_allocation,0.8,136.46328962089132,95.76881353297365,1.1703536971839565
final_known,ramp,nominal_mpc,0.8,136.46328962089132,95.76881353297365,1.1703536971839565
final_known,ramp,proposed_set_adaptive_mpc,1.0,2.5554322693880716,1.4361745946300535,0.08094389124148531
final_known,ramp,rls_adaptive_mpc,0.8,136.43740738881556,95.74816656403138,1.1703485289559286
final_known,ramp,robust_capability_set_mpc,1.0,1.5603563207530844,0.3522938057986994,0.08094451650994625
final_known,ramp,sg_only_pi,1.0,6.940682638467682,4.224728244556814,0.08094576713784968
final_known,service_disabled,O2_current_capability_nmpc,1.0,4.55859169903448,4.783310194729035,0.1889629569213796
final_known,service_disabled,fixed_allocation,1.0,8.3393774767547,5.013479311254599,0.1889629569213796
final_known,service_disabled,nominal_mpc,1.0,8.3393774767547,5.013479311254599,0.1889629569213796
final_known,service_disabled,proposed_set_adaptive_mpc,1.0,6.688560219488887,3.5385579005119405,0.1889629569213796
final_known,service_disabled,rls_adaptive_mpc,1.0,4.402607966498455,2.3711824615275416,0.1889629569213796
final_known,service_disabled,robust_capability_set_mpc,1.0,8.912390415325136,4.306249794007794,0.1889629569213796
final_known,service_disabled,sg_only_pi,1.0,12.492760856223843,7.135215398567631,0.1889629569213796
final_ood,asymmetric,O2_current_capability_nmpc,0.75,21.17749382435505,11.155755841354612,0.3408766665801043
