design_cell,plant,sfr_period_s,sg_reserve,mechanism,severity,capability_change_time_policy,load_event_relation,load_shape,measurement_noise,communication,initial_soc_band,knowledge_split,scenario_id,episode_seed,factor_source,execution_status,status_reason
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_00,15485863,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_01,32452843,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_02,49979687,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_03,67867967,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_04,86028121,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_05,104395303,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_06,122949823,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_07,141650939,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_08,160481183,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_09,179424673,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_10,198491317,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
core_000,A,2,adequate,nominal,mild,uniform_20_120_s,simultaneous,pulse,medium,random_dropout,low_0p25_0p40,final_known_negative_control,core_000_seed_11,217645199,explicit_locked_manifest,not_evaluated,not_evaluated_due_to_H2_PASSIVE_CAPABILITY_SET_NOT_SUPPORTED
