scenario,episode_count,success_rate,joint_coverage,false_alarm_rate,prechange_alarm_rate,load_rmse_pu
delay_after_load,12,0.0,0.9865625000000001,0.0,0.0,0.0034733926971372777
headroom_after_load,12,0.4166666666666667,0.7378125,0.0,0.0,0.003172062697269681
headroom_load_before,12,0.25,0.5280902777777777,0.0,0.0,0.003144003263322138
headroom_no_excitation,12,0.5833333333333334,0.7378125,0.0,0.0,0.0014966540715020777
load_only,12,1.0,1.0,0.0,0.0,0.003169729249345512
no_change_jitter,12,1.0,1.0,0.0,0.0,0.0031409082891281233
nominal_no_change,12,1.0,1.0,0.0,0.0,0.0031275810443975385
oem_label_only,12,1.0,1.0,0.0,0.0,0.0014006745140646168
ramp_same_load,12,0.0,0.375,0.0,0.0,0.003116133518665163
simultaneous_change,12,0.16666666666666666,0.5817013888888889,0.0,0.0,0.003119864211660233
