scenario,scientific_status,episode_count
delay_after_load,capability_set_coverage_failure,12
headroom_after_load,capability_set_coverage_failure,7
headroom_after_load,success,5
headroom_load_before,capability_set_coverage_failure,9
headroom_load_before,success,3
headroom_no_excitation,capability_set_coverage_failure,5
headroom_no_excitation,success,7
load_only,success,12
no_change_jitter,success,12
nominal_no_change,success,12
oem_label_only,success,12
ramp_same_load,capability_set_coverage_failure,12
simultaneous_change,capability_set_coverage_failure,10
simultaneous_change,success,2
