scenario_id,plant,load_seed,solver_seed,mechanism,sg_tension,sg_reserve_pu,sfr_period_s,load_timing,disturbance_area,disturbance_sign,disturbance_magnitude_pu,capability_change_time_s,measurement_noise_std_hz,communication_jitter_s,dropout_probability,initial_soc_1,initial_soc_2,known_ood,phase_0,phase_1,phase_2,phase_3
A_headroom_adequate_00,A,0,10000,headroom,adequate,0.1,4.0,continuous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.0601626760277125,2.3144646446082224,4.0644687662730785,2.1907015213846
A_headroom_adequate_01,A,1,10001,headroom,adequate,0.1,4.0,before,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.5142366062091052,0.8906480546099089,0.6012057390378976,4.607921991037828
A_headroom_adequate_02,A,2,10002,headroom,adequate,0.1,4.0,no_load,1,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.7577164562531266,0.046847911830291675,5.4251187353830295,5.757251559537378
A_headroom_adequate_03,A,3,10003,headroom,adequate,0.1,4.0,simultaneous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.788674207113416,4.392616151985086,2.1964067369570026,4.906734106415727
A_headroom_adequate_04,A,4,10004,headroom,adequate,0.1,4.0,before,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.63209381424652,0.5402538723966521,5.290520832949804,3.7599847497673795
A_headroom_adequate_05,A,5,10005,headroom,adequate,0.1,4.0,after,0,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.040349765055395,5.606028330377666,2.4621823792427904,4.563644081342051
A_headroom_adequate_06,A,6,10006,headroom,adequate,0.1,4.0,continuous,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.610109201327316,5.162044890379706,3.077686777241165,4.051219763553869
A_headroom_adequate_07,A,7,10007,headroom,adequate,0.1,4.0,continuous,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.0399093431327757,5.648291828355171,5.983826271006548,1.123485340560116
A_headroom_adequate_08,A,8,10008,headroom,adequate,0.1,4.0,continuous,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,6.083468916203851,4.65007620006846,2.6598060417960827,5.118877918659189
A_headroom_adequate_09,A,9,10009,headroom,adequate,0.1,4.0,simultaneous,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.3445167446288786,4.0476252842668226,1.242701570553922,0.5285587626119091
A_headroom_adequate_10,A,10,10010,headroom,adequate,0.1,4.0,simultaneous,1,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.2550066164383953,5.501177711347819,5.834847040802591,1.7408337322779537
A_headroom_adequate_11,A,11,10011,headroom,adequate,0.1,4.0,after,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.26522208714291834,4.7832504931940205,3.689084994770501,0.15388077672611164
A_headroom_adequate_12,A,12,10012,headroom,adequate,0.1,4.0,simultaneous,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.1498915230043645,5.5398870913733855,0.753988567513297,5.330343217130145
A_headroom_adequate_13,A,13,10013,headroom,adequate,0.1,4.0,no_load,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.2218277844547454,1.373585493479973,4.468077217885195,3.681896872657076
A_headroom_adequate_14,A,14,10014,headroom,adequate,0.1,4.0,after,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.95917388374619,5.440627052190749,3.017705006666566,1.843852568946781
A_headroom_adequate_15,A,15,10015,headroom,adequate,0.1,4.0,no_load,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.9918592551726687,1.027036030812489,0.20065601533204735,0.2000375105285516
A_headroom_adequate_16,A,16,10016,headroom,adequate,0.1,4.0,after,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.401757998315635,5.15436829534963,6.105079301134494,1.8414651062031715
A_headroom_adequate_17,A,17,10017,headroom,adequate,0.1,4.0,before,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.19804339365428353,2.2530572487541805,0.8980567857200854,5.275147419707627
A_headroom_adequate_18,A,18,10018,headroom,adequate,0.1,4.0,no_load,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.534405537532252,1.4775951891595016,4.578336195000499,2.7741525878076105
A_headroom_adequate_19,A,19,10019,headroom,adequate,0.1,4.0,before,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.1404965615311515,3.909665033269475,3.4039450023571955,5.6519436341469955
A_headroom_scarce_00,A,0,10000,headroom,scarce,0.05,4.0,simultaneous,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.240411148745347,4.91853549090696,1.608148895916651,1.2856638701982595
A_headroom_scarce_01,A,1,10001,headroom,scarce,0.05,4.0,simultaneous,0,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.7888489505200273,3.259143953972043,5.095734492352357,3.6855750529688995
