mechanism,sg_tension,episodes,baseline_success_rate,oracle_success_rate,success_rate_difference,frequency_iae_improvement,frequency_iae_ci_low,frequency_iae_ci_high,ace_iae_improvement,ace_iae_ci_low,ace_iae_ci_high,tie_iae_improvement,tie_iae_ci_low,tie_iae_ci_high,continuous_metrics_passing,cell_materiality_pass
availability,adequate,20,1.0,1.0,0.0,0.34747109914628516,0.269506074309067,0.4166112951191811,0.2875782562386415,0.2232213179858579,0.34237114259392476,0.34928040544843886,0.31282184588250633,0.3784383603114388,3,True
availability,critical,20,0.85,1.0,0.15000000000000002,0.34849102447697033,0.3113297996335333,0.3992405494113625,0.21700950368605,0.15855297370681318,0.301638097611587,0.21519461124428596,0.1448963410431762,0.316576562268536,3,True
availability,scarce,20,1.0,1.0,0.0,0.35512166901733044,0.30853789152353017,0.4095527624273635,0.30904357363587964,0.2766248682863796,0.3504814377812616,0.33003732272767927,0.2953873423994682,0.3718675743124077,3,True
delay,adequate,20,0.55,0.55,0.0,0.1064721821202369,-0.2378667252152032,0.22640299527264482,0.14981502813949354,0.04330339326873278,0.19725714666728733,0.34794600299369904,0.22956392643440626,0.38245815721128534,2,True
delay,critical,20,0.55,0.5,-0.050000000000000044,0.27553143294803195,-0.4190899693956094,0.3836499207806997,0.4267846757565823,0.05404232257718088,0.5162585654796328,0.6705782938926514,0.26933721537849026,0.7710663385682803,2,True
delay,scarce,20,0.6,0.7,0.09999999999999998,0.26949089616933775,-0.2247672095545289,0.3815931419688712,0.2890649597117909,0.07769268238337315,0.37516320784024837,0.39069790783770797,0.27838473768617095,0.43838088262048674,2,True
energy,adequate,20,1.0,1.0,0.0,0.41639019454678583,0.36151390302189834,0.4665983965488713,0.33221431889059194,0.2915945747545305,0.37276480980865623,0.37027851139508505,0.34068207720480326,0.3994395985022043,3,True
energy,critical,20,1.0,0.85,-0.15000000000000002,0.4196880716244257,0.3474036556301431,0.48349208191946014,0.3861918754828503,0.3217880913090333,0.44471997697309934,0.4341976951908877,0.3807654124447548,0.47986846141630757,3,True
energy,scarce,20,1.0,1.0,0.0,0.36690076956818474,0.3267301748058491,0.4054020130998306,0.28641033758440937,0.25178791014485535,0.33183171267165834,0.3102893615802619,0.27561619136927923,0.35653763021927304,3,True
headroom,adequate,20,1.0,1.0,0.0,0.4126789740377823,0.3624365160925323,0.4570433075537703,0.3331991042119927,0.28697222215539664,0.3711125062751683,0.3756241276786777,0.3324977268879623,0.4049587325553564,3,True
headroom,critical,20,1.0,1.0,0.0,0.36696783471237193,0.3203912802304773,0.4314869495164031,0.2653403874585857,0.19924149022169577,0.3645555759221338,0.2524987191371003,0.16706881531910686,0.3775960528526983,3,True
headroom,scarce,20,1.0,1.0,0.0,0.36683438949418334,0.32368489358829106,0.41436209247799993,0.2957541551577726,0.2558630323788272,0.3424334714613698,0.33068174492959657,0.2961879151252982,0.3713319562129853,3,True
ramp,adequate,20,1.0,1.0,0.0,0.3925823891854624,0.3413654321080711,0.4371125411117971,0.3330608383481676,0.3020832606214735,0.36018893356131954,0.3930042415104942,0.36856409667338935,0.41418002387096753,3,True
ramp,critical,20,1.0,1.0,0.0,0.47888280565975694,0.4588391845043853,0.49287537278403704,0.47839020890212214,0.4358930070917294,0.506324314808116,0.527864169414954,0.4881533639869527,0.5545495354990245,3,True
ramp,scarce,20,1.0,1.0,0.0,0.34043726673754016,0.29121415003963214,0.39392575672543584,0.28370274015776753,0.24525202302709137,0.3238845010908449,0.32719132451245503,0.2950676244506255,0.359833316449532,3,True
