scenario_id,J_mat,Tcrit_s,max_counterfactual_loss_gap
A_headroom_adequate_00,0.02,,0.005420546802891869
A_headroom_adequate_01,0.02,24.0,1.2372004083374408
A_headroom_adequate_02,0.02,,0.0
A_headroom_adequate_03,0.02,28.0,1.2515831101541486
A_headroom_adequate_04,0.02,20.0,1.113960702295134
A_headroom_adequate_05,0.02,36.0,1.4486529034046098
A_headroom_adequate_06,0.02,,0.0094374806685425
A_headroom_adequate_07,0.02,,0.007829500485610225
A_headroom_adequate_08,0.02,,0.008545061741144503
A_headroom_adequate_09,0.02,28.0,1.3643784311129634
A_headroom_adequate_10,0.02,28.0,1.0970808601945246
A_headroom_adequate_11,0.02,36.0,1.1396513410354245
A_headroom_adequate_12,0.02,28.0,1.2688589903278382
A_headroom_adequate_13,0.02,,0.0
A_headroom_adequate_14,0.02,36.0,0.9029976794984134
A_headroom_adequate_15,0.02,,0.0
A_headroom_adequate_16,0.02,36.0,1.248576958148785
A_headroom_adequate_17,0.02,,-0.09878376110754328
A_headroom_adequate_18,0.02,,0.0
A_headroom_adequate_19,0.02,20.0,0.8930566366638368
A_headroom_scarce_00,0.02,28.0,1.0770730636925387
A_headroom_scarce_01,0.02,28.0,0.9293016955324482
A_headroom_scarce_02,0.02,,0.009810502027277242
A_headroom_scarce_03,0.02,36.0,1.0252217043995357
A_headroom_scarce_04,0.02,,0.0
A_headroom_scarce_05,0.02,,0.0
A_headroom_scarce_06,0.02,,0.0
A_headroom_scarce_07,0.02,28.0,1.0523960343848708
A_headroom_scarce_08,0.02,,0.006296490843451304
A_headroom_scarce_09,0.02,20.0,0.9100244804565767
A_headroom_scarce_10,0.02,36.0,1.035130042629533
A_headroom_scarce_11,0.02,,0.00448938394181584
A_headroom_scarce_12,0.02,,0.0
A_headroom_scarce_13,0.02,,0.005569702805723151
A_headroom_scarce_14,0.02,20.0,0.10629245844314461
A_headroom_scarce_15,0.02,36.0,1.049424698798954
A_headroom_scarce_16,0.02,20.0,0.8773664799984044
A_headroom_scarce_17,0.02,20.0,0.8766688711849564
A_headroom_scarce_18,0.02,28.0,1.0062742664575932
A_headroom_scarce_19,0.02,36.0,0.7150632877377765
A_headroom_critical_00,0.02,36.0,5.373583112926827
A_headroom_critical_01,0.02,,0.005471335323554663
A_headroom_critical_02,0.02,,0.0
A_headroom_critical_03,0.02,28.0,0.9395114949225092
A_headroom_critical_04,0.02,20.0,6.007107188620838
A_headroom_critical_05,0.02,32.0,0.8645715507160574
A_headroom_critical_06,0.02,,0.0
A_headroom_critical_07,0.02,36.0,5.42402715486522
A_headroom_critical_08,0.02,,0.0
A_headroom_critical_09,0.02,36.0,2.0134921929286915
A_headroom_critical_10,0.02,,0.0
A_headroom_critical_11,0.02,,0.006345720026695156
A_headroom_critical_12,0.02,20.0,3.4849132271701473
A_headroom_critical_13,0.02,28.0,2.061492172687107
A_headroom_critical_14,0.02,20.0,6.103179764711143
A_headroom_critical_15,0.02,40.0,0.8519025526811301
A_headroom_critical_16,0.02,20.0,0.9309295105629698
A_headroom_critical_17,0.02,,0.005346614987726598
A_headroom_critical_18,0.02,28.0,2.057955329771491
A_headroom_critical_19,0.02,,0.005844686342545109
A_ramp_adequate_00,0.02,28.0,0.7695724482156026
A_ramp_adequate_01,0.02,,0.0
A_ramp_adequate_02,0.02,28.0,1.146366688245891
A_ramp_adequate_03,0.02,20.0,0.9817404267634879
A_ramp_adequate_04,0.02,28.0,0.9447184693015283
A_ramp_adequate_05,0.02,,0.0
A_ramp_adequate_06,0.02,36.0,1.1560893539222397
A_ramp_adequate_07,0.02,36.0,1.3323933983979535
A_ramp_adequate_08,0.02,36.0,0.9013399679987031
A_ramp_adequate_09,0.02,28.0,0.7657833812123811
A_ramp_adequate_10,0.02,,0.006009815998751869
A_ramp_adequate_11,0.02,20.0,1.4791069229071412
A_ramp_adequate_12,0.02,,0.007934738064953852
A_ramp_adequate_13,0.02,36.0,0.7545361681018248
A_ramp_adequate_14,0.02,,0.0070630337225877325
A_ramp_adequate_15,0.02,,0.0
A_ramp_adequate_16,0.02,24.0,0.7352225007788942
A_ramp_adequate_17,0.02,20.0,0.9031475055921365
A_ramp_adequate_18,0.02,,0.00655062415674431
A_ramp_adequate_19,0.02,,0.0
A_ramp_scarce_00,0.02,,0.005043829952390331
A_ramp_scarce_01,0.02,20.0,0.9263816818182165
A_ramp_scarce_02,0.02,28.0,0.9086311712926474
A_ramp_scarce_03,0.02,40.0,0.3910512827953818
A_ramp_scarce_04,0.02,36.0,0.7697256531686567
A_ramp_scarce_05,0.02,,0.0
A_ramp_scarce_06,0.02,20.0,0.5856611994081309
A_ramp_scarce_07,0.02,32.0,0.9384486503270564
A_ramp_scarce_08,0.02,40.0,0.9993631532084049
A_ramp_scarce_09,0.02,,0.008397901824831227
A_ramp_scarce_10,0.02,,0.0
A_ramp_scarce_11,0.02,32.0,0.574300584225397
A_ramp_scarce_12,0.02,36.0,0.9095609211711797
A_ramp_scarce_13,0.02,36.0,0.5326866574470888
A_ramp_scarce_14,0.02,20.0,0.8760425526367062
A_ramp_scarce_15,0.02,,0.0
A_ramp_scarce_16,0.02,,0.0
A_ramp_scarce_17,0.02,,0.006263296738762188
A_ramp_scarce_18,0.02,,0.006791848979819708
A_ramp_scarce_19,0.02,28.0,0.9202964030805361
A_ramp_critical_00,0.02,,0.004697282918929756
A_ramp_critical_01,0.02,,0.0
A_ramp_critical_02,0.02,36.0,1.7612867460144797
A_ramp_critical_03,0.02,28.0,3.3208295422298715
A_ramp_critical_04,0.02,20.0,6.940002011436661
A_ramp_critical_05,0.02,48.0,0.7249501432216077
A_ramp_critical_06,0.02,,0.0
A_ramp_critical_07,0.02,,0.0
A_ramp_critical_08,0.02,20.0,2.0895379114933847
A_ramp_critical_09,0.02,,0.006895213321019743
A_ramp_critical_10,0.02,36.0,3.3871628985715123
A_ramp_critical_11,0.02,20.0,7.041548739699657
A_ramp_critical_12,0.02,36.0,6.091650628075497
A_ramp_critical_13,0.02,40.0,0.7141777068060731
A_ramp_critical_14,0.02,,0.005943355889314383
A_ramp_critical_15,0.02,28.0,6.239511476621004
A_ramp_critical_16,0.02,,0.006252635874374796
A_ramp_critical_17,0.02,40.0,0.7149672822625006
A_ramp_critical_18,0.02,,0.0
A_ramp_critical_19,0.02,20.0,6.752255583527825
A_delay_adequate_00,0.02,32.0,719.9543546186358
A_delay_adequate_01,0.02,68.0,702.5126924010958
A_delay_adequate_02,0.02,,0.0
A_delay_adequate_03,0.02,20.0,0.7035796506924705
A_delay_adequate_04,0.02,,0.0025478857508537105
A_delay_adequate_05,0.02,20.0,0.520936327601802
A_delay_adequate_06,0.02,,0.0
A_delay_adequate_07,0.02,36.0,253.29954154536642
A_delay_adequate_08,0.02,,0.002218406596180507
A_delay_adequate_09,0.02,,0.0028012563536528
A_delay_adequate_10,0.02,68.0,556.4611878603793
A_delay_adequate_11,0.02,,0.0
A_delay_adequate_12,0.02,,0.0011141331415615756
A_delay_adequate_13,0.02,28.0,494.0431929058616
A_delay_adequate_14,0.02,28.0,491.1222975139033
A_delay_adequate_15,0.02,,-0.07281150157581884
A_delay_adequate_16,0.02,60.0,881.5288213889612
A_delay_adequate_17,0.02,68.0,550.8393702061483
A_delay_adequate_18,0.02,,0.0
A_delay_adequate_19,0.02,20.0,352.02275648418896
A_delay_scarce_00,0.02,20.0,0.7300847912776778
A_delay_scarce_01,0.02,36.0,987.3264425128926
A_delay_scarce_02,0.02,36.0,418.48945894250465
A_delay_scarce_03,0.02,40.0,732.0473749904028
A_delay_scarce_04,0.02,64.0,441.04218646196887
A_delay_scarce_05,0.02,36.0,985.026873918001
A_delay_scarce_06,0.02,24.0,1.567426967923347
A_delay_scarce_07,0.02,60.0,585.402704479111
A_delay_scarce_08,0.02,,0.004909306675675962
A_delay_scarce_09,0.02,,0.0
A_delay_scarce_10,0.02,,0.0011064960138364105
A_delay_scarce_11,0.02,,0.0008102775795573326
A_delay_scarce_12,0.02,,0.0
A_delay_scarce_13,0.02,48.0,0.4711365744429328
A_delay_scarce_14,0.02,,0.001646443723787987
A_delay_scarce_15,0.02,,0.0
A_delay_scarce_16,0.02,76.0,458.6767899238994
A_delay_scarce_17,0.02,20.0,0.3495879973499991
A_delay_scarce_18,0.02,,0.0
A_delay_scarce_19,0.02,28.0,470.90588256738977
A_delay_critical_00,0.02,,0.0
A_delay_critical_01,0.02,,0.0
A_delay_critical_02,0.02,,0.0
A_delay_critical_03,0.02,28.0,38.90381989642067
A_delay_critical_04,0.02,,0.00016553908722622464
A_delay_critical_05,0.02,20.0,0.08669002707609574
A_delay_critical_06,0.02,,0.0
A_delay_critical_07,0.02,40.0,28.144054708534696
A_delay_critical_08,0.02,48.0,0.7921320362949977
A_delay_critical_09,0.02,,4.1651672101530705e-06
A_delay_critical_10,0.02,,0.0032264155547420403
A_delay_critical_11,0.02,36.0,159.88150548119646
A_delay_critical_12,0.02,20.0,4.587289830521081
A_delay_critical_13,0.02,32.0,1.6584425049056506
A_delay_critical_14,0.02,20.0,1.8539496068912937
A_delay_critical_15,0.02,92.0,80.61911939781791
A_delay_critical_16,0.02,,0.0005631017480276848
A_delay_critical_17,0.02,92.0,68.01864891535945
A_delay_critical_18,0.02,28.0,0.07112389374058314
A_delay_critical_19,0.02,,0.0005079692221250766
A_energy_adequate_00,0.02,,0.0
A_energy_adequate_01,0.02,36.0,0.8765339769108083
A_energy_adequate_02,0.02,,0.005780770514906428
A_energy_adequate_03,0.02,24.0,1.1550721929680945
A_energy_adequate_04,0.02,,0.0
A_energy_adequate_05,0.02,36.0,1.11903011075594
A_energy_adequate_06,0.02,20.0,0.9260675002923489
A_energy_adequate_07,0.02,40.0,0.7513214980447493
A_energy_adequate_08,0.02,28.0,1.2502878759563343
A_energy_adequate_09,0.02,20.0,1.2673873718944546
A_energy_adequate_10,0.02,,0.0042945547562065305
A_energy_adequate_11,0.02,,0.0
A_energy_adequate_12,0.02,,0.006737922898472356
A_energy_adequate_13,0.02,,0.005185927098726544
A_energy_adequate_14,0.02,28.0,1.4680720400011857
A_energy_adequate_15,0.02,28.0,1.3823089937417037
A_energy_adequate_16,0.02,,0.0
A_energy_adequate_17,0.02,28.0,0.9074026551004772
A_energy_adequate_18,0.02,24.0,0.8628216554523114
A_energy_adequate_19,0.02,40.0,1.1559697304571568
A_energy_scarce_00,0.02,28.0,0.6281444624011856
A_energy_scarce_01,0.02,,0.005737105629012307
A_energy_scarce_02,0.02,36.0,0.8697256925225858
A_energy_scarce_03,0.02,36.0,0.9021799201019776
A_energy_scarce_04,0.02,24.0,0.8974947965164972
A_energy_scarce_05,0.02,,0.0
A_energy_scarce_06,0.02,36.0,0.5500679746093198
A_energy_scarce_07,0.02,36.0,0.8766319300922429
A_energy_scarce_08,0.02,,0.007080858369608343
A_energy_scarce_09,0.02,,0.0
A_energy_scarce_10,0.02,,0.006615137912133778
A_energy_scarce_11,0.02,,0.0
A_energy_scarce_12,0.02,,0.0
A_energy_scarce_13,0.02,20.0,1.000009773258978
A_energy_scarce_14,0.02,24.0,0.8896245174063226
A_energy_scarce_15,0.02,20.0,0.9327620270834194
A_energy_scarce_16,0.02,28.0,0.8769520111876234
A_energy_scarce_17,0.02,36.0,0.9742652315984577
A_energy_scarce_18,0.02,,0.009081191393964311
A_energy_scarce_19,0.02,36.0,0.922741502108642
A_energy_critical_00,0.02,20.0,6.467120208972894
A_energy_critical_01,0.02,44.0,0.8377673636974432
A_energy_critical_02,0.02,,0.006490315159951236
A_energy_critical_03,0.02,36.0,2.0469335235900132
A_energy_critical_04,0.02,,0.009581793760243755
A_energy_critical_05,0.02,20.0,3.8419318443429775
A_energy_critical_06,0.02,,0.0
A_energy_critical_07,0.02,28.0,2.059613750886668
A_energy_critical_08,0.02,20.0,3.834561363591069
A_energy_critical_09,0.02,36.0,3.702290098914264
A_energy_critical_10,0.02,28.0,2.0781547671848055
A_energy_critical_11,0.02,,0.005296235726052291
A_energy_critical_12,0.02,,0.00609290530083768
A_energy_critical_13,0.02,20.0,0.9427763603915214
A_energy_critical_14,0.02,,0.0
A_energy_critical_15,0.02,,0.0
A_energy_critical_16,0.02,28.0,2.074410978940856
A_energy_critical_17,0.02,,0.0
A_energy_critical_18,0.02,36.0,3.7008315208694196
A_energy_critical_19,0.02,28.0,2.085323285028038
A_availability_adequate_00,0.02,20.0,0.05911950993273596
A_availability_adequate_01,0.02,,0.0
A_availability_adequate_02,0.02,36.0,1.3140818256845854
A_availability_adequate_03,0.02,,0.0
A_availability_adequate_04,0.02,28.0,1.0466744990358956
A_availability_adequate_05,0.02,,0.005072340384678756
A_availability_adequate_06,0.02,,0.0
A_availability_adequate_07,0.02,,0.005297271490449257
A_availability_adequate_08,0.02,28.0,0.9761489125873868
A_availability_adequate_09,0.02,36.0,1.349761930930443
A_availability_adequate_10,0.02,,0.0
A_availability_adequate_11,0.02,28.0,1.3338967168202513
A_availability_adequate_12,0.02,,-0.09355956657993492
