scenario_id,plant,load_seed,solver_seed,mechanism,sg_tension,sg_reserve_pu,sfr_period_s,load_timing,disturbance_area,disturbance_sign,disturbance_magnitude_pu,capability_change_time_s,measurement_noise_std_hz,communication_jitter_s,dropout_probability,initial_soc_1,initial_soc_2,known_ood,phase_0,phase_1,phase_2,phase_3
A_headroom_adequate_00,A,0,10000,headroom,adequate,0.1,4.0,simultaneous,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.555165114685748,3.1825419232608185,2.2877969049778497,1.1732244946509354
A_headroom_adequate_01,A,1,10001,headroom,adequate,0.1,4.0,simultaneous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,6.176078459757494,0.7397240139137132,0.6465915374331671,3.322316440261428
A_headroom_adequate_02,A,2,10002,headroom,adequate,0.1,4.0,simultaneous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.6685524476424174,4.985632348019159,1.299546338012514,1.7495702907461594
A_headroom_adequate_03,A,3,10003,headroom,adequate,0.1,4.0,simultaneous,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.8014447922032693,1.5544701813636772,1.209960713749524,2.0019688766520316
A_headroom_adequate_04,A,4,10004,headroom,adequate,0.1,4.0,simultaneous,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.107652565392418,3.0894242159463716,4.814592321807363,5.5604604376519235
A_headroom_scarce_00,A,0,10000,headroom,scarce,0.05,4.0,simultaneous,1,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.755747913288606,5.075430578663506,4.669001769262426,2.4378943689633736
A_headroom_scarce_01,A,1,10001,headroom,scarce,0.05,4.0,simultaneous,1,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.701898025518187,6.224124794775921,1.0970180907970042,3.1534083285919707
A_headroom_scarce_02,A,2,10002,headroom,scarce,0.05,4.0,simultaneous,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.0601626760277125,2.3144646446082224,4.0644687662730785,2.1907015213846
A_headroom_scarce_03,A,3,10003,headroom,scarce,0.05,4.0,simultaneous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.5142366062091052,0.8906480546099089,0.6012057390378976,4.607921991037828
A_headroom_scarce_04,A,4,10004,headroom,scarce,0.05,4.0,simultaneous,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.7577164562531266,0.046847911830291675,5.4251187353830295,5.757251559537378
A_ramp_adequate_00,A,0,10000,ramp,adequate,0.1,4.0,simultaneous,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.040349765055395,5.606028330377666,2.4621823792427904,4.563644081342051
A_ramp_adequate_01,A,1,10001,ramp,adequate,0.1,4.0,simultaneous,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.610109201327316,5.162044890379706,3.077686777241165,4.051219763553869
A_ramp_adequate_02,A,2,10002,ramp,adequate,0.1,4.0,simultaneous,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.0399093431327757,5.648291828355171,5.983826271006548,1.123485340560116
A_ramp_adequate_03,A,3,10003,ramp,adequate,0.1,4.0,simultaneous,0,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,6.083468916203851,4.65007620006846,2.6598060417960827,5.118877918659189
A_ramp_adequate_04,A,4,10004,ramp,adequate,0.1,4.0,simultaneous,1,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.3445167446288786,4.0476252842668226,1.242701570553922,0.5285587626119091
A_ramp_scarce_00,A,0,10000,ramp,scarce,0.05,4.0,simultaneous,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.5398870913733855,0.753988567513297,5.330343217130145,2.2218277844547454
A_ramp_scarce_01,A,1,10001,ramp,scarce,0.05,4.0,simultaneous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.373585493479973,4.468077217885195,3.681896872657076,5.95917388374619
A_ramp_scarce_02,A,2,10002,ramp,scarce,0.05,4.0,simultaneous,0,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.440627052190749,3.017705006666566,1.843852568946781,0.9918592551726687
A_ramp_scarce_03,A,3,10003,ramp,scarce,0.05,4.0,simultaneous,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.027036030812489,0.20065601533204735,0.2000375105285516,3.401757998315635
A_ramp_scarce_04,A,4,10004,ramp,scarce,0.05,4.0,simultaneous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.15436829534963,6.105079301134494,1.8414651062031715,0.19804339365428353
