scenario_id,J_mat,Tcrit_s,max_counterfactual_loss_gap
A_headroom_adequate_00,0.02,,1.2909607046503093e-06
A_headroom_adequate_01,0.02,,-1.4257134547815756e-07
A_headroom_adequate_02,0.02,,0.004977397439309694
A_headroom_adequate_03,0.02,,0.006369045284163155
A_headroom_adequate_04,0.02,,0.004579478043710283
A_headroom_scarce_00,0.02,,0.007368505314425677
A_headroom_scarce_01,0.02,,0.0013883419383282636
A_headroom_scarce_02,0.02,28.0,0.17564460118061032
A_headroom_scarce_03,0.02,,-3.647452011437517e-08
A_headroom_scarce_04,0.02,,0.004416713775490466
A_ramp_adequate_00,0.02,,-2.59524565726982e-08
A_ramp_adequate_01,0.02,,0.0011910156148298157
A_ramp_adequate_02,0.02,,0.004224191853529513
A_ramp_adequate_03,0.02,36.0,0.02838955599051296
A_ramp_adequate_04,0.02,,0.012444789472951134
A_ramp_scarce_00,0.02,,0.0038143659876024305
A_ramp_scarce_01,0.02,,3.032253319000373e-07
A_ramp_scarce_02,0.02,,0.009066622496612275
A_ramp_scarce_03,0.02,,0.011594993292970202
A_ramp_scarce_04,0.02,,0.011479662787017286
