scenario_id,plant,load_seed,solver_seed,mechanism,sg_tension,sg_reserve_pu,sfr_period_s,load_timing,disturbance_area,disturbance_sign,disturbance_magnitude_pu,capability_change_time_s,measurement_noise_std_hz,communication_jitter_s,dropout_probability,initial_soc_1,initial_soc_2,known_ood,phase_0,phase_1,phase_2,phase_3
A_delay_scarce_00,A,0,10000,delay,scarce,0.05,4.0,before,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.043986656153558,0.03797210566086067,2.9714058980283795,0.04393795631973865
A_delay_scarce_01,A,1,10001,delay,scarce,0.05,4.0,simultaneous,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.148595976699218,5.900739159850618,2.4877163798397963,3.621111440337799
A_delay_scarce_02,A,2,10002,delay,scarce,0.05,4.0,after,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.952079272239154,1.0098034720996079,3.046430036926423,5.447781180484002
A_delay_scarce_03,A,3,10003,delay,scarce,0.05,4.0,simultaneous,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.640123000490772,6.186497592438103,1.2943946751460664,5.365718300520251
A_delay_scarce_04,A,4,10004,delay,scarce,0.05,4.0,after,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.7572872388540604,4.508325525256055,1.838647999814601,2.9896123006004336
A_delay_critical_03,A,3,10003,delay,critical,0.025,4.0,simultaneous,0,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.855993105450325,0.42069245267778255,1.2128937953988548,0.6452527406296611
A_delay_critical_04,A,4,10004,delay,critical,0.025,4.0,continuous,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.584897241120537,6.2139760930652335,1.1115015904298238,4.231435839928686
A_delay_critical_05,A,5,10005,delay,critical,0.025,4.0,before,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.0683326778680802,1.0085698252724944,0.833598444140783,2.2116176526522864
A_delay_critical_07,A,7,10007,delay,critical,0.025,4.0,simultaneous,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.7704412678992073,2.2484386482147114,1.6601037353197108,2.6469090030689264
A_delay_critical_08,A,8,10008,delay,critical,0.025,4.0,after,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.604179335513201,4.498211839785698,0.5023398214413551,2.748821597258363
