estimator,mechanism,episodes,joint_truth_coverage,timing_evaluated_episodes,p_update_before_tcrit,median_final_normalized_width,median_max_natural_excitation,structural_or_excitation_failure_rate
glr_set_reset,availability,80,1.0,45,0.0,1.0,0.017150387500669863,1.0
glr_set_reset,delay,80,1.0,46,0.0,1.0,0.022744913721550318,1.0
glr_set_reset,energy,80,1.0,48,0.0,1.0,0.015890604105262184,1.0
glr_set_reset,headroom,80,1.0,47,0.0,1.0,0.01708933620191765,1.0
glr_set_reset,ramp,80,1.0,47,0.0,1.0,0.017133618341563416,1.0
imm_interval,availability,80,1.0,45,0.0,1.0,0.017150387500669863,1.0
imm_interval,delay,80,1.0,46,0.0,1.0,0.022744913721550318,1.0
imm_interval,energy,80,1.0,48,0.0,1.0,0.015890604105262184,1.0
imm_interval,headroom,80,1.0,47,0.0,1.0,0.01708933620191765,1.0
imm_interval,ramp,80,1.0,47,0.0,1.0,0.017133618341563416,1.0
set_membership,availability,80,0.9762857142857142,45,0.0,1.0,0.017150387500669863,1.0
set_membership,delay,80,0.83915306122449,46,0.0,1.0,0.022744913721550318,1.0
set_membership,energy,80,1.0,48,0.0,1.0,0.015890604105262184,1.0
set_membership,headroom,80,0.9912040816326531,47,0.0,1.0,0.01708933620191765,1.0
set_membership,ramp,80,1.0,47,0.0,1.0,0.017133618341563416,1.0
