scenario_id,plant,load_seed,solver_seed,mechanism,sg_tension,sg_reserve_pu,sfr_period_s,load_timing,disturbance_area,disturbance_sign,disturbance_magnitude_pu,capability_change_time_s,measurement_noise_std_hz,communication_jitter_s,dropout_probability,initial_soc_1,initial_soc_2,known_ood,phase_0,phase_1,phase_2,phase_3,Tcrit_s,source_scenario_id
E5_A_availability_adequate_00,A,0,10000,availability,adequate,0.1,4.0,before,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.2565624068728791,5.580259522157011,2.533797252167035,3.202328874097593,20.0,A_availability_adequate_00
E5_A_availability_adequate_01,A,1,10001,availability,adequate,0.1,4.0,no_load,1,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.2189791505795356,2.8196803960156718,5.551120084085718,1.9885706813206692,,A_availability_adequate_01
E5_A_availability_adequate_02,A,2,10002,availability,adequate,0.1,4.0,after,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.436859231964388,4.960299422329571,2.328359410179784,5.69289671433704,36.0,A_availability_adequate_02
E5_A_availability_adequate_03,A,3,10003,availability,adequate,0.1,4.0,no_load,0,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.180363240434432,1.6144706920024663,3.1693049136709783,4.496933809759157,,A_availability_adequate_03
E5_A_availability_adequate_04,A,4,10004,availability,adequate,0.1,4.0,simultaneous,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.173742384556072,3.939698921510704,0.0048027936164872,4.591099275984156,28.0,A_availability_adequate_04
E5_A_availability_adequate_05,A,5,10005,availability,adequate,0.1,4.0,continuous,0,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.149534168403924,0.35554526499679,0.1411120727210069,3.980930761276945,,A_availability_adequate_05
E5_A_availability_adequate_06,A,6,10006,availability,adequate,0.1,4.0,no_load,1,-1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.7932754855426736,0.8105544546893555,1.7630478553110511,3.2015932782743546,,A_availability_adequate_06
E5_A_availability_adequate_07,A,7,10007,availability,adequate,0.1,4.0,continuous,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.5652618745112745,1.95981246193762,3.031002094067357,5.736297299837707,,A_availability_adequate_07
E5_A_availability_adequate_08,A,8,10008,availability,adequate,0.1,4.0,simultaneous,1,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.1153949762943351,1.4903335565222462,0.6974979591076866,1.2671639009074152,28.0,A_availability_adequate_08
E5_A_availability_adequate_09,A,9,10009,availability,adequate,0.1,4.0,after,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.767011305970902,0.98606232518461,1.7010627477054776,4.136034295515507,36.0,A_availability_adequate_09
E5_A_availability_scarce_00,A,0,10000,availability,scarce,0.05,4.0,after,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.53622361460758,6.0647968356478295,0.1141305333369243,3.0425320335391386,36.0,A_availability_scarce_00
E5_A_availability_scarce_01,A,1,10001,availability,scarce,0.05,4.0,no_load,0,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.629802103415399,4.141547804676062,2.0107225870692997,1.4229756320786984,,A_availability_scarce_01
E5_A_availability_scarce_02,A,2,10002,availability,scarce,0.05,4.0,simultaneous,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.714035966348658,2.2276073610886344,3.660999487245389,2.5256120332071204,28.0,A_availability_scarce_02
E5_A_availability_scarce_03,A,3,10003,availability,scarce,0.05,4.0,continuous,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.7644138800535005,1.4789981868186672,3.203869485833447,1.3484705194657611,,A_availability_scarce_03
E5_A_availability_scarce_04,A,4,10004,availability,scarce,0.05,4.0,no_load,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.30025577192784,3.167634690162402,5.484198334221194,0.6394137843091439,,A_availability_scarce_04
E5_A_availability_scarce_05,A,5,10005,availability,scarce,0.05,4.0,after,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.8654931967648425,5.504705387346596,1.5806069529968867,2.341662469088691,36.0,A_availability_scarce_05
E5_A_availability_scarce_06,A,6,10006,availability,scarce,0.05,4.0,before,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.826817380966082,1.3519202225450064,3.588233950508541,0.2877574951263441,20.0,A_availability_scarce_06
E5_A_availability_scarce_07,A,7,10007,availability,scarce,0.05,4.0,continuous,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.139767165619695,3.433634288612546,4.400807809288939,4.472374402586668,,A_availability_scarce_07
E5_A_availability_scarce_08,A,8,10008,availability,scarce,0.05,4.0,no_load,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.152432982057709,1.8439420773959456,2.3224621824490908,0.110619918703108,,A_availability_scarce_08
E5_A_availability_scarce_09,A,9,10009,availability,scarce,0.05,4.0,continuous,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.824776439671515,0.6935779180957407,4.800729546771157,1.9959952392331464,,A_availability_scarce_09
E5_A_delay_adequate_00,A,0,10000,delay,adequate,0.1,4.0,after,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.314944940259087,0.8863828171764887,1.2386316295935142,1.3105925641362135,32.0,A_delay_adequate_00
E5_A_delay_adequate_01,A,1,10001,delay,adequate,0.1,4.0,simultaneous,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.1523143319834235,4.961401360083023,5.643830850103978,5.765193370688756,68.0,A_delay_adequate_01
E5_A_delay_adequate_02,A,2,10002,delay,adequate,0.1,4.0,no_load,0,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.87255047485224,1.23984708470238,0.870622933386409,3.0618671741759003,,A_delay_adequate_02
E5_A_delay_adequate_03,A,3,10003,delay,adequate,0.1,4.0,before,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.5802267305445835,5.36435511889189,4.266427867186373,4.965756922735871,20.0,A_delay_adequate_03
E5_A_delay_adequate_04,A,4,10004,delay,adequate,0.1,4.0,continuous,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.249104426880285,2.7029478116436287,5.693600549121543,2.71411748298787,,A_delay_adequate_04
E5_A_delay_adequate_05,A,5,10005,delay,adequate,0.1,4.0,before,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.6388054194017592,4.833007322244254,0.8750123290157527,4.722827567170804,20.0,A_delay_adequate_05
E5_A_delay_adequate_06,A,6,10006,delay,adequate,0.1,4.0,no_load,0,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.50180948793573,0.7176255742573422,0.636887907096905,5.377854857679247,,A_delay_adequate_06
E5_A_delay_adequate_07,A,7,10007,delay,adequate,0.1,4.0,after,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.784434398895407,1.4065676208664284,1.0004747857006464,0.8284792313552394,36.0,A_delay_adequate_07
E5_A_delay_adequate_08,A,8,10008,delay,adequate,0.1,4.0,continuous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.5172227350262987,4.080768879432984,1.69476285045798,0.6200103007860974,,A_delay_adequate_08
E5_A_delay_adequate_09,A,9,10009,delay,adequate,0.1,4.0,continuous,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.855142635548089,1.1912607929797647,4.23356757726412,5.733223197572857,,A_delay_adequate_09
E5_A_delay_scarce_00,A,0,10000,delay,scarce,0.05,4.0,before,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.043986656153558,0.0379721056608606,2.9714058980283795,0.0439379563197386,20.0,A_delay_scarce_00
E5_A_delay_scarce_01,A,1,10001,delay,scarce,0.05,4.0,simultaneous,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.148595976699218,5.900739159850618,2.4877163798397963,3.621111440337799,36.0,A_delay_scarce_01
E5_A_delay_scarce_02,A,2,10002,delay,scarce,0.05,4.0,after,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.952079272239154,1.009803472099608,3.046430036926423,5.447781180484002,36.0,A_delay_scarce_02
E5_A_delay_scarce_03,A,3,10003,delay,scarce,0.05,4.0,simultaneous,1,-1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.640123000490772,6.186497592438103,1.2943946751460664,5.365718300520251,40.0,A_delay_scarce_03
E5_A_delay_scarce_04,A,4,10004,delay,scarce,0.05,4.0,after,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.757287238854061,4.508325525256055,1.838647999814601,2.9896123006004336,64.0,A_delay_scarce_04
E5_A_delay_scarce_05,A,5,10005,delay,scarce,0.05,4.0,simultaneous,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.922836033016662,3.30970392602183,5.761817406279781,5.797147392893816,36.0,A_delay_scarce_05
E5_A_delay_scarce_06,A,6,10006,delay,scarce,0.05,4.0,before,0,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.880235164404102,0.8497672270420833,5.660560615945053,4.825488024329254,24.0,A_delay_scarce_06
E5_A_delay_scarce_07,A,7,10007,delay,scarce,0.05,4.0,after,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.9463538047053208,1.0283447060012532,1.7149572170642708,3.3866924352224497,60.0,A_delay_scarce_07
E5_A_delay_scarce_08,A,8,10008,delay,scarce,0.05,4.0,continuous,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.9982370078732927,4.558475228083231,5.010770300329685,3.517828880766182,,A_delay_scarce_08
