scenario_id,plant,load_seed,solver_seed,mechanism,sg_tension,sg_reserve_pu,sfr_period_s,load_timing,disturbance_area,disturbance_sign,disturbance_magnitude_pu,capability_change_time_s,measurement_noise_std_hz,communication_jitter_s,dropout_probability,initial_soc_1,initial_soc_2,known_ood,phase_0,phase_1,phase_2,phase_3
A2_availability_scarce_00,A,0,20000,availability,scarce,0.05,2.0,no_load,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,2.561934919700342,0.5945554912993555,4.2733123385827705,2.2009684377862424
A2_availability_adequate_10,A,10,20010,availability,adequate,0.1,2.0,before,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,4.848688751348613,0.8516387483353197,3.770773968560176,1.6571538990876036
A_availability_adequate_00,A,0,10000,availability,adequate,0.1,4.0,before,1,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,1.2565624068728791,5.580259522157011,2.533797252167035,3.202328874097593
A_availability_adequate_10,A,10,10010,availability,adequate,0.1,4.0,no_load,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,2.639163177602371,5.892985490855122,0.5787811635366527,0.5264476797309553
A2_delay_critical_00,A,0,20000,delay,critical,0.025,2.0,after,1,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,3.6503856141937367,2.3505026053777085,1.0111781706056029,1.290773626992894
A2_delay_critical_10,A,10,20010,delay,critical,0.025,2.0,after,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,4.061605701044639,6.103141615249178,6.158806699902949,2.754388447968792
A_delay_adequate_00,A,0,10000,delay,adequate,0.1,4.0,after,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.314944940259087,0.8863828171764887,1.2386316295935142,1.3105925641362135
A_delay_adequate_10,A,10,10010,delay,adequate,0.1,4.0,after,1,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.005828360628686,5.454387022823782,6.125568004074983,4.345825237169223
A2_energy_critical_00,A,0,20000,energy,critical,0.025,2.0,before,1,1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,5.654324728599396,0.2968619529210103,1.962371781987564,6.079175524802575
A2_energy_scarce_10,A,10,20010,energy,scarce,0.05,2.0,continuous,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,3.044926355090215,0.4263635513246671,5.138551256815425,3.069639993353847
A_energy_adequate_00,A,0,10000,energy,adequate,0.1,4.0,no_load,0,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,4.678552996024048,3.3729171656218315,3.31460543900876,0.4859148672018808
A_energy_adequate_10,A,10,10010,energy,adequate,0.1,4.0,continuous,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known,0.3104068029154269,6.08918879459127,5.73221719430923,3.91778012797904
A2_headroom_critical_00,A,0,20000,headroom,critical,0.025,2.0,simultaneous,0,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,2.7885132250074167,4.27588086181979,1.702195029447878,5.4792483464146455
A2_headroom_scarce_10,A,10,20010,headroom,scarce,0.05,2.0,no_load,1,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,0.9390288050021728,2.9008258525214243,2.643972303056896,0.3109424191536864
A_headroom_adequate_00,A,0,10000,headroom,adequate,0.1,4.0,continuous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.0601626760277125,2.3144646446082224,4.064468766273079,2.1907015213846
A_headroom_adequate_10,A,10,10010,headroom,adequate,0.1,4.0,simultaneous,1,1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,3.2550066164383957,5.501177711347819,5.834847040802591,1.7408337322779537
A2_ramp_critical_00,A,0,20000,ramp,critical,0.025,2.0,simultaneous,0,1.0,0.05,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,3.195514057956185,1.8474316162031283,2.6434817243951234,3.591173689985669
A2_ramp_critical_10,A,10,20010,ramp,critical,0.025,2.0,simultaneous,1,-1.0,0.08,20.0,0.0,0.0,0.0,0.5,0.5,development_known_2s_sensitivity,0.0701414209860527,3.4255116577804863,3.692307781244671,0.5943198899797583
A_ramp_adequate_00,A,0,10000,ramp,adequate,0.1,4.0,simultaneous,0,1.0,0.07,20.0,0.0,0.0,0.0,0.5,0.5,development_known,6.262049444191476,1.0085934656434152,5.848932404939642,1.464265799454764
A_ramp_adequate_10,A,10,10010,ramp,adequate,0.1,4.0,continuous,1,-1.0,0.06,20.0,0.0,0.0,0.0,0.5,0.5,development_known,5.69804891752181,0.761699492610012,4.742615990163627,2.669860528731728
