scenario_id,load_seed,split,mechanism,sg_tension,sg_reserve_pu,sfr_period_s,load_timing,disturbance_area,disturbance_sign,disturbance_magnitude_pu,capability_change_time_s,initial_soc_1,initial_soc_2,phase_0,phase_1,phase_2,phase_3
F3_00,0,development,delay,critical,0.025,4.0,simultaneous,0,-1.0,0.08,20.0,0.54,0.49,5.776423479071564,0.3413573601433299,0.6046848305848591,0.11343661173043193
F3_01,1,development,ramp,adequate,0.1,2.0,before,0,1.0,0.06,20.0,0.54,0.49,2.479871393399975,2.862025157846652,5.0960210362267775,0.0044199791529883365
F3_02,2,development,availability,adequate,0.1,2.0,no_load,0,-1.0,0.06,20.0,0.46,0.44,0.4191260236226748,0.45862254325062624,3.4782555169213176,5.305372108692538
F3_03,3,development,delay,critical,0.025,2.0,before,1,-1.0,0.08,20.0,0.46,0.57,3.2138772473249957,5.368672270135293,5.031071740815145,2.5654447269528378
F3_04,4,development,ramp,scarce,0.05,4.0,after,0,1.0,0.08,20.0,0.5,0.53,0.29402116385324023,1.573316908170142,2.754432853801121,0.7481368058614888
F3_05,5,development,delay,critical,0.025,4.0,continuous,1,1.0,0.07,20.0,0.58,0.44,0.3582368109263187,4.405840665585121,4.167451409633822,5.686142076547501
F3_06,6,development,ramp,critical,0.025,2.0,continuous,0,1.0,0.08,20.0,0.58,0.57,2.6105758216433386,2.439457832570096,1.5176610293341446,4.601526018284037
F3_07,7,development,energy,scarce,0.05,4.0,before,1,1.0,0.08,20.0,0.5,0.5,5.069680407941125,2.9730440540133207,5.401939611241719,3.453332318303098
F3_08,8,development,delay,scarce,0.05,2.0,before,1,1.0,0.08,20.0,0.5,0.49,0.29484535295214176,5.943725876451428,4.404840025826378,4.66911554788001
F3_09,9,development,energy,critical,0.025,2.0,no_load,0,-1.0,0.06,20.0,0.5,0.5,6.210010788367512,3.0060122124692814,1.3986778365953074,2.1250231076581114
F3_10,10,development,energy,critical,0.025,2.0,continuous,1,1.0,0.05,20.0,0.5,0.5,1.7217049987543538,0.018471473860805842,1.5523286311163416,1.5210411564068762
F3_11,11,development,availability,scarce,0.05,4.0,before,0,1.0,0.06,20.0,0.58,0.44,4.49312361421489,0.3246273121722237,4.851258895207633,1.2829517709522142
F3_12,12,development,headroom,scarce,0.05,2.0,simultaneous,1,1.0,0.05,20.0,0.58,0.49,2.4865582955834724,3.2070232857747363,2.8502718431033127,0.23645613714102548
F3_13,13,development,availability,scarce,0.05,2.0,no_load,1,-1.0,0.05,20.0,0.46,0.53,2.332547254725633,6.040259804627675,4.030417207541583,2.7865503883633225
F3_14,14,development,availability,scarce,0.05,4.0,no_load,0,1.0,0.06,20.0,0.5,0.49,4.677654778216408,3.870075501468649,5.912110479053387,3.331568905253698
F3_15,15,development,headroom,adequate,0.1,4.0,no_load,1,-1.0,0.05,20.0,0.54,0.44,5.785148207546901,1.7479749584287338,3.186923852460023,5.266546332733457
F3_16,16,development,headroom,adequate,0.1,2.0,after,1,1.0,0.07,20.0,0.54,0.53,2.1844788580330605,1.4253639259840651,2.485142750899618,4.708567343404206
F3_17,17,development,energy,critical,0.025,4.0,simultaneous,0,-1.0,0.05,20.0,0.5,0.5,5.4812515176953,2.483347905057127,4.281089533897629,3.213159272579369
F3_18,18,development,delay,critical,0.025,2.0,no_load,1,1.0,0.06,20.0,0.58,0.53,4.775068295772552,3.5626142745614544,3.0739366484310717,4.0737288668064675
F3_19,19,development,energy,scarce,0.05,4.0,continuous,1,1.0,0.06,20.0,0.5,0.5,2.5344552723780067,2.782016089819928,5.3687793160057735,1.6027819932226035
F3_20,20,validation,ramp,adequate,0.1,4.0,simultaneous,0,-1.0,0.08,20.0,0.5,0.53,0.6789101416595552,2.0013050759352873,1.3239930904705588,4.760725997793227
F3_21,21,validation,delay,scarce,0.05,4.0,simultaneous,0,-1.0,0.08,20.0,0.54,0.44,4.146218005125643,2.4000132628757638,1.656528480560446,0.9520386261314133
F3_22,22,validation,availability,adequate,0.1,4.0,continuous,0,1.0,0.07,20.0,0.54,0.49,4.225187861142919,6.258679199658998,1.7517696169669446,4.375875100955529
F3_23,23,validation,headroom,adequate,0.1,4.0,after,1,-1.0,0.07,20.0,0.58,0.49,1.0877618143611056,2.2974592103457465,1.6133128976258764,4.912871593438227
F3_24,24,validation,energy,critical,0.025,2.0,after,0,-1.0,0.06,20.0,0.5,0.5,4.254822525337248,3.065878573878193,4.242592448791066,2.8642466629519316
F3_25,25,validation,ramp,critical,0.025,4.0,no_load,1,-1.0,0.08,20.0,0.46,0.44,3.536046529132504,4.823679546057328,3.2127541326310225,5.4994568987429195
F3_26,26,validation,delay,critical,0.025,2.0,before,0,1.0,0.08,20.0,0.58,0.53,5.453085567603493,3.915636123750319,0.06547155103246047,0.9373582164365536
F3_27,27,validation,headroom,scarce,0.05,2.0,before,0,1.0,0.07,20.0,0.54,0.57,6.103385068890352,2.903242158031931,1.9720361596664813,3.7879134780038073
F3_28,28,validation,availability,adequate,0.1,2.0,after,1,1.0,0.05,20.0,0.5,0.57,1.9078094903939367,2.061017748267494,4.419274735754637,0.6891875459971831
F3_29,29,validation,headroom,adequate,0.1,4.0,simultaneous,1,-1.0,0.07,20.0,0.5,0.53,5.066003360232535,1.0421081813545277,4.510934809477695,6.190989603312141
F3_30,30,validation,headroom,adequate,0.1,2.0,continuous,1,-1.0,0.07,20.0,0.58,0.44,2.743669002671313,0.631464503689531,4.247959201904645,1.6571830819906406
F3_31,31,validation,energy,adequate,0.1,4.0,before,1,1.0,0.05,20.0,0.5,0.5,0.336025569491208,3.8866305899002738,4.355121134209172,4.872674517595928
F3_32,32,validation,headroom,critical,0.025,2.0,after,1,-1.0,0.06,20.0,0.46,0.49,2.8264988297831515,2.6091407134864695,2.825278972958556,3.8094886603264575
F3_33,33,validation,delay,adequate,0.1,4.0,after,0,-1.0,0.05,20.0,0.58,0.53,1.81330271530843,1.2820248845818614,4.673891541343013,0.9364257802831872
F3_34,34,validation,ramp,critical,0.025,2.0,simultaneous,1,1.0,0.07,20.0,0.46,0.57,4.769738614631804,0.03419901635364232,0.9025272772338644,0.5224088858232474
F3_35,35,validation,availability,scarce,0.05,4.0,after,0,-1.0,0.05,20.0,0.5,0.53,3.029983631605786,4.995249181305639,0.8173200664428569,1.795086549754092
F3_36,36,validation,energy,adequate,0.1,4.0,continuous,0,-1.0,0.06,20.0,0.5,0.5,2.2563418422716413,0.7063784102142809,2.753880885483765,1.0094567263456047
F3_37,37,validation,availability,scarce,0.05,4.0,simultaneous,0,1.0,0.05,20.0,0.54,0.49,3.912262707040833,1.1433563103239164,0.35718265178595465,5.585175101085283
F3_38,38,validation,ramp,scarce,0.05,2.0,continuous,1,-1.0,0.07,20.0,0.5,0.49,0.7727032757938146,0.8091082533702109,4.259600551353932,2.1144223732043206
F3_39,39,validation,ramp,adequate,0.1,2.0,no_load,0,-1.0,0.07,20.0,0.46,0.44,5.632289333351896,5.484780618591829,1.1277224419806342,4.598064186185883
