scenario_id,plant,seed,split,scenario_class,mechanism,period_s,load_area,load_sign,load_magnitude_pu,noise_std_hz,dropout_probability,jitter_bound_s,known_ood
H3_A_00,A,0,development,simultaneous,ramp,4.0,1,1.0,0.04,0.0,0.02,0.1,known
H3_A_01,A,1,development,simultaneous,delay,2.0,0,1.0,0.05,0.003,0.02,0.05,known
H3_A_02,A,2,development,no_excitation,ramp,2.0,0,1.0,0.06,0.005,0.0,0.0,known
H3_A_03,A,3,development,no_excitation,availability,4.0,1,1.0,0.05,0.003,0.05,0.0,known
H3_A_04,A,4,development,no_excitation,ramp,4.0,1,1.0,0.06,0.003,0.0,0.0,known
H3_A_05,A,5,development,load_only,energy,4.0,1,1.0,0.07,0.001,0.0,0.1,known
H3_A_06,A,6,development,no_excitation,ramp,2.0,0,1.0,0.07,0.0,0.05,0.0,known
H3_A_07,A,7,development,capability_only,energy,4.0,0,-1.0,0.06,0.003,0.02,0.0,known
H3_A_08,A,8,development,load_only,delay,2.0,1,-1.0,0.06,0.005,0.0,0.0,known
H3_A_09,A,9,development,no_excitation,availability,2.0,1,-1.0,0.05,0.003,0.0,0.0,known
H3_A_10,A,10,development,no_excitation,energy,4.0,1,-1.0,0.07,0.0,0.0,0.0,known
H3_A_11,A,11,development,simultaneous,availability,2.0,0,-1.0,0.07,0.001,0.0,0.0,known
H3_A_12,A,12,development,simultaneous,headroom,2.0,0,-1.0,0.05,0.005,0.05,0.0,known
H3_A_13,A,13,development,no_excitation,delay,4.0,1,-1.0,0.05,0.003,0.0,0.0,known
H3_A_14,A,14,development,capability_only,delay,2.0,0,-1.0,0.05,0.0,0.05,0.05,known
H3_A_15,A,15,development,capability_only,energy,4.0,1,-1.0,0.04,0.0,0.0,0.05,known
H3_A_16,A,16,development,simultaneous,energy,4.0,0,-1.0,0.06,0.0,0.0,0.1,known
H3_A_17,A,17,development,capability_only,availability,4.0,0,-1.0,0.04,0.001,0.02,0.0,known
H3_A_18,A,18,development,capability_only,energy,2.0,0,-1.0,0.04,0.0,0.05,0.05,known
H3_A_19,A,19,development,capability_only,delay,4.0,1,1.0,0.04,0.0,0.02,0.05,known
H3_A_20,A,20,validation,load_only,headroom,2.0,0,1.0,0.07,0.001,0.0,0.05,known
H3_A_21,A,21,validation,simultaneous,ramp,4.0,1,1.0,0.04,0.001,0.05,0.1,known
H3_A_22,A,22,validation,capability_only,headroom,4.0,0,-1.0,0.05,0.003,0.05,0.05,known
H3_A_23,A,23,validation,load_only,ramp,4.0,1,1.0,0.05,0.003,0.0,0.1,known
H3_A_24,A,24,validation,load_only,availability,4.0,1,1.0,0.04,0.001,0.0,0.0,known
H3_A_25,A,25,validation,simultaneous,headroom,2.0,0,1.0,0.04,0.005,0.0,0.1,known
H3_A_26,A,26,validation,load_only,ramp,2.0,1,-1.0,0.06,0.001,0.02,0.0,known
H3_A_27,A,27,validation,simultaneous,ramp,2.0,1,-1.0,0.07,0.0,0.0,0.0,known
H3_A_28,A,28,validation,load_only,headroom,4.0,0,-1.0,0.06,0.001,0.0,0.05,known
H3_A_29,A,29,validation,capability_only,availability,2.0,0,1.0,0.07,0.005,0.0,0.1,known
H3_A_30,A,30,validation,capability_only,delay,2.0,0,1.0,0.04,0.003,0.0,0.0,known
H3_A_31,A,31,validation,simultaneous,availability,4.0,1,-1.0,0.06,0.0,0.02,0.0,known
H3_A_32,A,32,validation,load_only,availability,4.0,1,-1.0,0.07,0.005,0.02,0.1,known
H3_A_33,A,33,validation,load_only,headroom,2.0,1,1.0,0.07,0.001,0.02,0.05,known
H3_A_34,A,34,validation,simultaneous,delay,2.0,0,-1.0,0.05,0.003,0.0,0.1,known
H3_A_35,A,35,validation,no_excitation,delay,4.0,0,-1.0,0.06,0.001,0.02,0.0,known
H3_A_36,A,36,validation,no_excitation,headroom,4.0,0,1.0,0.06,0.005,0.0,0.1,ood_slow_drift
H3_A_37,A,37,validation,load_only,energy,2.0,1,1.0,0.04,0.005,0.05,0.0,ood_slow_drift
H3_A_38,A,38,validation,capability_only,headroom,2.0,1,1.0,0.05,0.005,0.05,0.05,ood_slow_drift
H3_A_39,A,39,validation,no_excitation,energy,2.0,0,1.0,0.07,0.005,0.05,0.0,ood_slow_drift
