plant,period_s,horizon_steps,primary_exclusion_reason,size
A,2.0,1,DOMAIN_NOT_SUSTAINABLE,21
A,2.0,1,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,8
A,2.0,1,OBSERVER_NOT_WARMED,16
A,2.0,2,DOMAIN_NOT_SUSTAINABLE,21
A,2.0,2,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,16
A,2.0,2,OBSERVER_NOT_WARMED,8
A,2.0,4,DOMAIN_NOT_SUSTAINABLE,21
A,2.0,4,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,32
A,2.0,6,DOMAIN_NOT_SUSTAINABLE,21
A,2.0,6,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,48
A,4.0,1,DOMAIN_NOT_SUSTAINABLE,21
A,4.0,1,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,12
A,4.0,1,OBSERVER_NOT_WARMED,24
A,4.0,2,DOMAIN_NOT_SUSTAINABLE,21
A,4.0,2,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,24
A,4.0,2,OBSERVER_NOT_WARMED,12
A,4.0,4,DOMAIN_NOT_SUSTAINABLE,21
A,4.0,4,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,48
A,4.0,6,DOMAIN_NOT_SUSTAINABLE,21
A,4.0,6,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,72
B,2.0,1,DOMAIN_NOT_SUSTAINABLE,21
B,2.0,1,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,8
B,2.0,1,GRC_ACTIVE,16
B,2.0,2,DOMAIN_NOT_SUSTAINABLE,21
B,2.0,2,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,16
B,2.0,2,GRC_ACTIVE,8
B,2.0,4,DOMAIN_NOT_SUSTAINABLE,21
B,2.0,4,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,32
B,2.0,6,DOMAIN_NOT_SUSTAINABLE,21
B,2.0,6,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,48
B,4.0,1,DOMAIN_NOT_SUSTAINABLE,21
B,4.0,1,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,12
B,4.0,1,FAR_FROM_LOAD_PARAMETERIZED_EQUILIBRIUM,2
B,4.0,1,GRC_ACTIVE,10
B,4.0,1,OBSERVER_NOT_WARMED,12
B,4.0,2,DOMAIN_NOT_SUSTAINABLE,21
B,4.0,2,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,24
B,4.0,2,OBSERVER_NOT_WARMED,12
B,4.0,4,DOMAIN_NOT_SUSTAINABLE,21
B,4.0,4,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,48
B,4.0,6,DOMAIN_NOT_SUSTAINABLE,21
B,4.0,6,EVENT_INSIDE_OR_TOO_CLOSE_TO_FULL_HORIZON,72
