set,split,plant,period_s,horizon_steps,horizon_s,samples,successes,empirical_coverage,confidence,finite_sample_lower_bound,empirical_target,lower_bound_target,local_only,passed
GLOBAL_PREDICTION,validation,A,2.0,1,2.0,160,156,0.975,0.95,0.9437070147599348,0.95,0.95,False,False
LOCAL_TERMINAL_MODEL,validation,A,2.0,1,2.0,154,152,0.987012987012987,0.95,0.9596846997978685,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,2.0,1,2.0,154,154,1.0,0.95,0.980735177960113,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,A,2.0,2,4.0,158,156,0.9873417721518988,0.95,0.9606914511177315,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,A,2.0,2,4.0,152,149,0.9802631578947368,0.95,0.9497818626988088,0.95,0.95,True,False
LOCAL_PERSISTENT_LOAD,validation,A,2.0,2,4.0,152,152,1.0,0.95,0.9804841830821518,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,A,2.0,4,8.0,154,153,0.9935064935064936,0.95,0.969567601950211,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,A,2.0,4,8.0,146,144,0.9863013698630136,0.95,0.9575081575834726,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,2.0,4,8.0,146,146,1.0,0.95,0.9796903621792112,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,A,2.0,6,12.0,150,149,0.9933333333333333,0.95,0.9687661830790572,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,A,2.0,6,12.0,138,137,0.9927536231884058,0.95,0.966086966225419,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,2.0,6,12.0,138,138,1.0,0.95,0.9785257224270634,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,A,4.0,1,4.0,120,118,0.9833333333333333,0.95,0.948466286313622,0.95,0.95,False,False
LOCAL_TERMINAL_MODEL,validation,A,4.0,1,4.0,111,111,1.0,0.95,0.9733723583066243,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,4.0,1,4.0,111,111,1.0,0.95,0.9733723583066243,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,A,4.0,2,8.0,117,117,1.0,0.95,0.9747204672504487,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,A,4.0,2,8.0,108,108,1.0,0.95,0.9726429113002488,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,4.0,2,8.0,108,108,1.0,0.95,0.9726429113002488,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,A,4.0,4,16.0,111,111,1.0,0.95,0.9733723583066243,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,A,4.0,4,16.0,99,99,1.0,0.95,0.9701933262266491,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,4.0,4,16.0,99,99,1.0,0.95,0.9701933262266491,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,A,4.0,6,24.0,105,105,1.0,0.95,0.9718723759963236,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,A,4.0,6,24.0,87,87,1.0,0.95,0.9661523893183804,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,A,4.0,6,24.0,87,87,1.0,0.95,0.9661523893183804,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,2.0,1,2.0,160,157,0.98125,0.95,0.9522553330035257,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,2.0,1,2.0,154,153,0.9935064935064936,0.95,0.969567601950211,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,2.0,1,2.0,154,154,1.0,0.95,0.980735177960113,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,2.0,2,4.0,158,156,0.9873417721518988,0.95,0.9606914511177315,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,2.0,2,4.0,152,150,0.9868421052631579,0.95,0.9591617371101243,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,2.0,2,4.0,152,152,1.0,0.95,0.9804841830821518,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,2.0,4,8.0,154,153,0.9935064935064936,0.95,0.969567601950211,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,2.0,4,8.0,146,146,1.0,0.95,0.9796903621792112,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,2.0,4,8.0,146,146,1.0,0.95,0.9796903621792112,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,2.0,6,12.0,150,150,1.0,0.95,0.9802265618354915,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,2.0,6,12.0,138,138,1.0,0.95,0.9785257224270634,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,2.0,6,12.0,138,138,1.0,0.95,0.9785257224270634,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,4.0,1,4.0,120,120,1.0,0.95,0.9753445989443437,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,4.0,1,4.0,111,111,1.0,0.95,0.9733723583066243,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,4.0,1,4.0,111,111,1.0,0.95,0.9733723583066243,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,4.0,2,8.0,117,115,0.9829059829059829,0.95,0.9471691890212635,0.95,0.95,False,False
LOCAL_TERMINAL_MODEL,validation,B,4.0,2,8.0,108,108,1.0,0.95,0.9726429113002488,0.95,0.95,True,True
LOCAL_PERSISTENT_LOAD,validation,B,4.0,2,8.0,108,108,1.0,0.95,0.9726429113002488,0.95,0.95,True,True
GLOBAL_PREDICTION,validation,B,4.0,4,16.0,111,111,1.0,0.95,0.9733723583066243,0.95,0.95,False,True
LOCAL_TERMINAL_MODEL,validation,B,4.0,4,16.0,99,99,1.0,0.95,0.9701933262266491,0.95,0.95,True,True
