split,plant,method,episodes,physical_success_rate,preclassified_infeasible,hard_violations,controller_calls,unsolved_calls,restoration_calls,fallback_calls,solver_p99_s,history_mismatches
development,A,DCSV-MPC,20,1.0,4,0,254,2,0,2,0.4760325569924319,0
development,A,contract_robust_mpc,20,1.0,4,0,254,3,0,3,0.3074417499828269,0
development,A,fixed_allocation_pi,20,1.0,4,0,0,0,0,0,0.0,0
development,A,nominal_offset_free_mpc,20,1.0,4,0,254,0,0,0,0.14993447698914678,0
development,A,rls_adaptive_mpc,20,1.0,4,0,254,0,0,0,0.15993123700551226,0
development,A,sg_only_pi,20,1.0,4,0,0,0,0,0,0.0,0
development,A,true_capability_oracle_mpc,20,1.0,4,0,254,2,0,2,0.1747717049901258,0
validation,A,DCSV-MPC,22,1.0,4,0,254,3,0,3,0.47968302298337223,0
validation,A,contract_robust_mpc,22,1.0,4,0,254,1,0,1,0.33037848400592335,0
validation,A,fixed_allocation_pi,22,1.0,4,0,0,0,0,0,0.0,0
validation,A,nominal_offset_free_mpc,22,1.0,4,0,254,0,0,0,0.16715381399495532,0
validation,A,rls_adaptive_mpc,22,1.0,4,0,254,0,0,0,0.17724009199911966,0
validation,A,sg_only_pi,22,1.0,4,0,0,0,0,0,0.0,0
validation,A,true_capability_oracle_mpc,22,1.0,4,0,254,2,0,2,0.18116348799027046,0
validation,B,DCSV-MPC,6,1.0,0,0,58,0,0,0,0.27123599201702747,0
validation,B,contract_robust_mpc,6,1.0,0,0,58,0,0,0,0.2158091730051092,0
validation,B,fixed_allocation_pi,6,1.0,0,0,0,0,0,0,0.0,0
validation,B,nominal_offset_free_mpc,6,1.0,0,0,58,0,0,0,0.13850331499765164,0
validation,B,rls_adaptive_mpc,6,1.0,0,0,58,0,0,0,0.1234525910046068,0
validation,B,sg_only_pi,6,1.0,0,0,0,0,0,0,0.0,0
validation,B,true_capability_oracle_mpc,6,1.0,0,0,58,0,0,0,0.12389145699504298,0
