split,plant,method,episodes,physical_success_rate,preclassified_infeasible,hard_violations,controller_calls,unsolved_calls,restoration_calls,fallback_calls,solver_p99_s,history_mismatches
development,A,DCSV-MPC,20,1.0,4,0,128,0,0,0,0.30460062500758794,0
development,A,contract_robust_mpc,20,1.0,4,0,128,0,0,0,0.3243379659805214,0
development,A,fixed_allocation_pi,20,1.0,4,0,0,0,0,0,0.0,0
development,A,nominal_offset_free_mpc,20,1.0,4,0,128,0,0,0,0.15759014799725263,0
development,A,rls_adaptive_mpc,20,1.0,4,0,128,0,0,0,0.1442006149867666,0
development,A,sg_only_pi,20,1.0,4,0,0,0,0,0,0.0,0
development,A,true_capability_oracle_mpc,20,1.0,4,0,128,0,0,0,0.12241880500660043,0
validation,A,DCSV-MPC,22,1.0,4,0,128,0,0,0,0.3086838999993051,0
validation,A,contract_robust_mpc,22,1.0,4,0,128,0,0,0,0.23595179797906893,0
validation,A,fixed_allocation_pi,22,1.0,4,0,0,0,0,0,0.0,0
validation,A,nominal_offset_free_mpc,22,1.0,4,0,128,0,0,0,0.1216314080019947,0
validation,A,rls_adaptive_mpc,22,1.0,4,0,128,0,0,0,0.1401908349827863,0
validation,A,sg_only_pi,22,1.0,4,0,0,0,0,0,0.0,0
validation,A,true_capability_oracle_mpc,22,1.0,4,0,128,0,0,0,0.13435841398750198,0
validation,B,DCSV-MPC,6,1.0,0,0,32,0,0,0,0.2919571070186794,0
validation,B,contract_robust_mpc,6,1.0,0,0,32,0,0,0,0.17596416399290318,0
validation,B,fixed_allocation_pi,6,1.0,0,0,0,0,0,0,0.0,0
validation,B,nominal_offset_free_mpc,6,1.0,0,0,32,0,0,0,0.15227629801112924,0
validation,B,rls_adaptive_mpc,6,1.0,0,0,32,0,0,0,0.11846879098564385,0
validation,B,sg_only_pi,6,1.0,0,0,0,0,0,0,0.0,0
validation,B,true_capability_oracle_mpc,6,1.0,0,0,32,0,0,0,0.12227184299437795,0
