split,plant,method,episodes,physical_success_rate,preclassified_infeasible,hard_violations,controller_calls,unsolved_calls,restoration_calls,fallback_calls,solver_p99_s,history_mismatches
development,A,DCSV-MPC,20,1.0,4,0,254,0,0,0,0.3629969970008824,0
development,A,contract_robust_mpc,20,1.0,4,0,254,0,0,0,0.2578335099999095,0
development,A,fixed_allocation_pi,20,1.0,4,0,0,0,0,0,0.0,0
development,A,nominal_offset_free_mpc,20,1.0,4,0,254,0,0,0,0.1357082719943719,0
development,A,rls_adaptive_mpc,20,1.0,4,0,254,0,0,0,0.144252349989838,0
development,A,sg_only_pi,20,1.0,4,0,0,0,0,0,0.0,0
development,A,true_capability_oracle_mpc,20,1.0,4,0,254,0,0,0,0.1372367749910336,0
validation,A,DCSV-MPC,22,1.0,4,0,254,0,0,0,0.3037696000011056,0
validation,A,contract_robust_mpc,22,1.0,4,0,254,0,0,0,0.21171464699844364,0
validation,A,fixed_allocation_pi,22,1.0,4,0,0,0,0,0,0.0,0
validation,A,nominal_offset_free_mpc,22,1.0,4,0,254,0,0,0,0.12818502700654794,0
validation,A,rls_adaptive_mpc,22,1.0,4,0,254,0,0,0,0.1261853430166957,0
validation,A,sg_only_pi,22,1.0,4,0,0,0,0,0,0.0,0
validation,A,true_capability_oracle_mpc,22,1.0,4,0,254,0,0,0,0.11202887798630401,0
validation,B,DCSV-MPC,6,1.0,0,0,58,0,0,0,0.1978850629812223,0
validation,B,contract_robust_mpc,6,1.0,0,0,58,0,0,0,0.16205112200492297,0
validation,B,fixed_allocation_pi,6,1.0,0,0,0,0,0,0,0.0,0
validation,B,nominal_offset_free_mpc,6,1.0,0,0,58,0,0,0,0.09613348799524829,0
validation,B,rls_adaptive_mpc,6,1.0,0,0,58,0,0,0,0.1067287319956813,0
validation,B,sg_only_pi,6,1.0,0,0,0,0,0,0,0.0,0
validation,B,true_capability_oracle_mpc,6,1.0,0,0,58,0,0,0,0.09731836800376187,0
