scenario_id,method,metric,absolute_difference,matches_frozen
H7_A_00,sg_only_pi,frequency_iae_hz_s,0.0,True
H7_A_00,sg_only_pi,ace_iae_pu_s,0.0,True
H7_A_00,sg_only_pi,tie_iae_pu_s,0.0,True
H7_A_00,sg_only_pi,failure_aware_cost,0.0,True
H7_A_00,fixed_allocation_pi,frequency_iae_hz_s,0.0,True
H7_A_00,fixed_allocation_pi,ace_iae_pu_s,0.0,True
H7_A_00,fixed_allocation_pi,tie_iae_pu_s,0.0,True
H7_A_00,fixed_allocation_pi,failure_aware_cost,0.0,True
H7_A_00,nominal_offset_free_mpc,frequency_iae_hz_s,0.0,True
H7_A_00,nominal_offset_free_mpc,ace_iae_pu_s,0.0,True
H7_A_00,nominal_offset_free_mpc,tie_iae_pu_s,0.0,True
H7_A_00,nominal_offset_free_mpc,failure_aware_cost,0.0,True
H7_A_00,rls_adaptive_mpc,frequency_iae_hz_s,0.0,True
H7_A_00,rls_adaptive_mpc,ace_iae_pu_s,0.0,True
H7_A_00,rls_adaptive_mpc,tie_iae_pu_s,0.0,True
H7_A_00,rls_adaptive_mpc,failure_aware_cost,0.0,True
H7_A_00,contract_robust_mpc,frequency_iae_hz_s,0.0,True
H7_A_00,contract_robust_mpc,ace_iae_pu_s,0.0,True
H7_A_00,contract_robust_mpc,tie_iae_pu_s,0.0,True
H7_A_00,contract_robust_mpc,failure_aware_cost,0.0,True
H7_A_00,true_capability_oracle_mpc,frequency_iae_hz_s,0.0,True
H7_A_00,true_capability_oracle_mpc,ace_iae_pu_s,0.0,True
H7_A_00,true_capability_oracle_mpc,tie_iae_pu_s,0.0,True
H7_A_00,true_capability_oracle_mpc,failure_aware_cost,0.0,True
H7_A_00,DCSV-MPC,frequency_iae_hz_s,0.0,True
H7_A_00,DCSV-MPC,ace_iae_pu_s,0.0,True
H7_A_00,DCSV-MPC,tie_iae_pu_s,0.0,True
H7_A_00,DCSV-MPC,failure_aware_cost,0.0,True
H7_A_01,sg_only_pi,frequency_iae_hz_s,0.0,True
H7_A_01,sg_only_pi,ace_iae_pu_s,0.0,True
H7_A_01,sg_only_pi,tie_iae_pu_s,0.0,True
H7_A_01,sg_only_pi,failure_aware_cost,0.0,True
H7_A_01,fixed_allocation_pi,frequency_iae_hz_s,0.0,True
