mechanism,scenario_id,selection_rule
availability,H7_A_04,first_three_frozen_manifest_rows
availability,H7_A_09,first_three_frozen_manifest_rows
availability,H7_A_14,first_three_frozen_manifest_rows
delay,H7_A_02,first_three_frozen_manifest_rows
delay,H7_A_07,first_three_frozen_manifest_rows
delay,H7_A_12,first_three_frozen_manifest_rows
energy,H7_A_03,first_three_frozen_manifest_rows
energy,H7_A_08,first_three_frozen_manifest_rows
energy,H7_A_13,first_three_frozen_manifest_rows
headroom,H7_A_00,first_three_frozen_manifest_rows
headroom,H7_A_05,first_three_frozen_manifest_rows
headroom,H7_A_10,first_three_frozen_manifest_rows
ramp,H7_A_01,first_three_frozen_manifest_rows
ramp,H7_A_06,first_three_frozen_manifest_rows
ramp,H7_A_11,first_three_frozen_manifest_rows
plant_b_key_trace,H7_B_22,all_representative_plant_b_rows
plant_b_key_trace,H7_B_25,all_representative_plant_b_rows
plant_b_key_trace,H7_B_26,all_representative_plant_b_rows
plant_b_key_trace,H7_B_27,all_representative_plant_b_rows
