scenario_id,split,period_s,duration_s,method,frozen_frequency_iae,exact_frequency_iae,exact_absolute_difference,held_tail_s,full_rolling_tail_s,full_rolling_frequency_iae,frequency_iae_change,held_ace_iae,full_rolling_ace_iae,ace_iae_change
H7_A_05,development,4.0,300.0,fixed_allocation_pi,7.089218208222316,7.089218208222316,0.0,268.0,0.0,1.904761343215075,-5.184456865007241,3.1678500960625366,0.8586271048721256,-2.309222991190411
H7_A_06,development,2.0,600.0,fixed_allocation_pi,26.8491221467671,26.8491221467671,0.0,584.0,0.0,1.9047619047594182,-24.944360242007683,12.536081393733514,0.88914399190288,-11.646937401830634
H7_A_07,development,4.0,300.0,fixed_allocation_pi,5.012312504026336,5.012312504026336,0.0,268.0,0.0,2.188227047948383,-2.824085456077953,2.1773363373089825,0.9984630211652411,-1.1788733161437412
H7_A_08,development,2.0,300.0,fixed_allocation_pi,13.571359845236152,13.571359845236152,0.0,284.0,0.0,1.9047597365891447,-11.666600108647007,6.34994972661438,0.8891430812713661,-5.4608066453430135
H7_A_09,development,4.0,600.0,fixed_allocation_pi,13.318694966498013,13.318694966498013,0.0,568.0,0.0,1.904761904761742,-11.413933061736271,5.931784310606642,0.8586273407217262,-5.073156969884916
H7_A_15,development,4.0,600.0,fixed_allocation_pi,13.318694966498013,13.318694966498013,0.0,568.0,0.0,1.904761904761742,-11.413933061736271,5.931784310606642,0.8586273407217262,-5.073156969884916
H7_A_16,development,2.0,300.0,fixed_allocation_pi,13.571359845236152,13.571359845236152,0.0,284.0,0.0,1.9047597365891447,-11.666600108647007,6.34994972661438,0.8891430812713661,-5.4608066453430135
H7_A_17,development,4.0,300.0,fixed_allocation_pi,7.020932408248096,7.020932408248096,0.0,268.0,0.0,1.9047614176051633,-5.1161709906429325,3.017729605147497,0.8689377890774711,-2.148791816070026
H7_A_18,development,2.0,600.0,fixed_allocation_pi,26.8491221467671,26.8491221467671,0.0,584.0,0.0,1.9047619047594182,-24.944360242007683,12.536081393733514,0.88914399190288,-11.646937401830634
H7_A_19,development,4.0,300.0,fixed_allocation_pi,7.089218208222316,7.089218208222316,0.0,268.0,0.0,1.904761343215075,-5.184456865007241,3.1678500960625366,0.8586271048721256,-2.309222991190411
H7_A_25,validation,4.0,300.0,fixed_allocation_pi,7.089218208222316,7.089218208222316,0.0,268.0,0.0,1.904761343215075,-5.184456865007241,3.1678500960625366,0.8586271048721256,-2.309222991190411
H7_A_26,validation,2.0,300.0,fixed_allocation_pi,13.571359845236152,13.571359845236152,0.0,284.0,0.0,1.9047597365891447,-11.666600108647007,6.34994972661438,0.8891430812713661,-5.4608066453430135
H7_A_27,validation,4.0,600.0,fixed_allocation_pi,13.167068455238997,13.167068455238997,0.0,568.0,0.0,1.9047619047617774,-11.26230655047722,5.5991067448836604,0.8689379936832491,-4.730168751200411
H7_A_28,validation,2.0,300.0,fixed_allocation_pi,10.772226633051371,10.772226633051371,0.0,284.0,0.0,2.186137182205194,-8.586089450846178,4.921621749080201,1.020958773504254,-3.9006629755759468
H7_A_29,validation,4.0,300.0,fixed_allocation_pi,7.089218208222316,7.089218208222316,0.0,268.0,0.0,1.904761343215075,-5.184456865007241,3.1678500960625366,0.8586271048721256,-2.309222991190411
H7_A_35,validation,4.0,300.0,fixed_allocation_pi,5.0741306755912,5.0741306755912,0.0,268.0,0.0,2.188048560998824,-2.886082114592376,2.255738120649819,0.9864602107208645,-1.2692779099289546
H7_A_36,validation,2.0,600.0,fixed_allocation_pi,26.8491221467671,26.8491221467671,0.0,584.0,0.0,1.9047619047594182,-24.944360242007683,12.536081393733514,0.88914399190288,-11.646937401830634
H7_A_37,validation,4.0,300.0,fixed_allocation_pi,7.020932408248096,7.020932408248096,0.0,268.0,0.0,1.9047614176051633,-5.1161709906429325,3.017729605147497,0.8689377890774711,-2.148791816070026
H7_A_38,validation,2.0,300.0,fixed_allocation_pi,13.571359845236152,13.571359845236152,0.0,284.0,0.0,1.9047597365891447,-11.666600108647007,6.34994972661438,0.8891430812713661,-5.4608066453430135
H7_A_39,validation,4.0,600.0,fixed_allocation_pi,13.318694966498013,13.318694966498013,0.0,568.0,0.0,1.904761904761742,-11.413933061736271,5.931784310606642,0.8586273407217262,-5.073156969884916
