scenario_id,plant,method,registered_duration_s,controller_calls,frequency_iae_hz_s,ace_iae_pu_s,tie_iae_pu_s,physical_success,artificial_zero_row
H7_A_NORMAL_1H_2s,A,sg_only_pi,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_2s,A,fixed_allocation_pi,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_2s,A,nominal_offset_free_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_2s,A,rls_adaptive_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_2s,A,contract_robust_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_2s,A,true_capability_oracle_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_2s,A,DCSV-MPC,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_4s,A,sg_only_pi,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_4s,A,fixed_allocation_pi,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_4s,A,nominal_offset_free_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_4s,A,rls_adaptive_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_4s,A,contract_robust_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_4s,A,true_capability_oracle_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_A_NORMAL_1H_4s,A,DCSV-MPC,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_2s,B,sg_only_pi,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_2s,B,fixed_allocation_pi,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_2s,B,nominal_offset_free_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_2s,B,rls_adaptive_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_2s,B,contract_robust_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_2s,B,true_capability_oracle_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_2s,B,DCSV-MPC,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_4s,B,sg_only_pi,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_4s,B,fixed_allocation_pi,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_4s,B,nominal_offset_free_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_4s,B,rls_adaptive_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_4s,B,contract_robust_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_4s,B,true_capability_oracle_mpc,3600.0,0,0.0,0.0,0.0,True,True
H7_B_NORMAL_1H_4s,B,DCSV-MPC,3600.0,0,0.0,0.0,0.0,True,True
