factor,deterministic_given_seed,unique_values,source_rule
domain,True,3,seed modulo in build_manifest
sg_reserve_pu,True,2,seed modulo in build_manifest
period_s,True,2,seed modulo in build_manifest
mechanism,True,5,seed modulo in build_manifest
load0,True,6,seed modulo in build_manifest
load1,True,6,seed modulo in build_manifest
initial_soc,True,3,seed modulo in build_manifest
noise_std_hz,True,4,seed modulo in build_manifest
dropout_probability,True,3,seed modulo in build_manifest
jitter_bound_s,True,3,seed modulo in build_manifest
repeated_change,True,2,seed modulo in build_manifest
