scenario_id,split,seed,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,event_time_generation,controller_updates_entire_horizon
I2-D000,development,0,power_drop,low,2.0,300.0,60.0,101.33014709637165,78.95407040478993,independent_rng_draws,True
I2-D001,development,1,power_drop,low,4.0,600.0,60.0,85.69764652375048,75.72762836943348,independent_rng_draws,True
I2-D002,development,2,power_drop,high,2.0,300.0,60.0,105.71415107159636,107.26097793749841,independent_rng_draws,True
I2-D003,development,3,power_drop,high,4.0,600.0,60.0,154.44429521376574,204.54558816868493,independent_rng_draws,True
I2-D004,development,4,ramp_drop,low,2.0,300.0,60.0,79.85117765398236,70.77175381341738,independent_rng_draws,True
I2-D005,development,5,ramp_drop,low,4.0,600.0,60.0,198.43330646534403,127.14823648400288,independent_rng_draws,True
I2-D006,development,6,ramp_drop,high,2.0,300.0,60.0,75.21821221739349,102.29871582588805,independent_rng_draws,True
I2-D007,development,7,ramp_drop,high,4.0,600.0,60.0,146.49330021123245,80.29782098121822,independent_rng_draws,True
I2-D008,development,8,delay_increase,low,2.0,300.0,60.0,86.10228165493032,94.65132904814686,independent_rng_draws,True
I2-D009,development,9,delay_increase,low,4.0,600.0,60.0,152.06963601623323,75.3990023752049,independent_rng_draws,True
I2-D010,development,10,delay_increase,high,2.0,300.0,60.0,83.88191053588906,74.6648904636033,independent_rng_draws,True
I2-D011,development,11,delay_increase,high,4.0,600.0,60.0,178.35487899354064,182.38710269578004,independent_rng_draws,True
