episode_id,split,seed,excited,true_power0_pu,true_ramp0_pu_per_s,true_delay0_s,power_covered,ramp_covered,delay_covered,false_optimism,excitation_sufficient,delay_width0_s,power_width0_pu,performance_power0_pu,samples
I3-V090,validation,90,False,0.051733218887092786,0.07591207921070976,0.9693218611290195,True,True,True,False,False,1.5,0.09831330575971226,0.045,480
I3-V091,validation,91,False,0.08549334625567775,0.06897594519752523,0.7026110932173204,True,True,True,False,False,1.5,0.09835459151101925,0.045,480
I3-V092,validation,92,False,0.08054736602728546,0.0689983797752762,0.22321532169981487,True,True,True,False,False,1.5,0.09832463380705761,0.045,480
I3-V093,validation,93,False,0.06142519016590142,0.061537422619018456,1.082089149537263,True,True,True,False,False,1.5,0.09831934853121228,0.045,480
I3-V094,validation,94,False,0.05024378103348302,0.06690977630249205,0.6248056910035864,True,True,True,False,False,1.5,0.0983460881397741,0.045,480
I3-V095,validation,95,False,0.08577976304865896,0.0343108709440393,0.4680027524133695,True,True,True,False,False,1.5,0.0983181537876872,0.045,480
I3-V096,validation,96,False,0.0782171244093952,0.057463687231609856,1.2644863583003934,True,True,True,False,False,1.5,0.09833036355386338,0.045,480
I3-V097,validation,97,False,0.0735601467036905,0.043040742348230854,0.5313749828617934,True,True,True,False,False,1.5,0.09832073892814239,0.045,480
I3-V098,validation,98,False,0.05382402054137286,0.05580526923674776,1.0539585094000787,True,True,True,False,False,1.5,0.09833759015541027,0.045,480
I3-V099,validation,99,False,0.061620400904639945,0.0313202143228814,1.023028470357005,True,True,True,False,False,1.5,0.09832062986381788,0.045,480
