method,expected_domain,period_s,controller_calls,actions_issued,hard_command_violations,physical_hard_violations,restorations,fallbacks,mathematical_infeasibility,numerical_failure,p99_solve_time_s,max_solver_residual,minimum_energy_margin_mwh
dcsv_mpc,BRIDGE,2.0,51,51,0,0,0,0,0,0,0.14146400000026915,1.7938231627237667e-09,19.406722734137563
dcsv_mpc,BRIDGE,4.0,26,26,0,0,0,0,0,0,0.1591245000017807,1.0531836371063807e-06,19.30265752241163
dcsv_mpc,PHYSICALLY_INFEASIBLE,2.0,51,51,0,0,0,0,0,0,0.1459315499814693,5.94830162477719e-11,19.468755263937325
dcsv_mpc,PHYSICALLY_INFEASIBLE,4.0,26,26,0,0,0,0,0,0,0.14363125001545995,2.481186089270702e-12,19.46875629804944
dcsv_mpc,SUSTAINABLE,2.0,51,51,0,0,0,0,0,0,0.16220204999262933,2.9810751089875964e-10,19.935947342004315
dcsv_mpc,SUSTAINABLE,4.0,26,26,0,0,0,0,0,0,0.1441529249859741,2.481186089270702e-12,19.921707609157583
rolling_contract_mpc,BRIDGE,2.0,51,51,0,0,0,0,0,0,0.15277284999319818,1.7938231627237667e-09,19.41331062532926
rolling_contract_mpc,BRIDGE,4.0,26,26,0,0,0,0,0,0,0.16849530000035884,3.867196965434694e-08,19.313628199365066
rolling_contract_mpc,PHYSICALLY_INFEASIBLE,2.0,51,51,0,0,0,0,0,0,0.1462854499986861,5.94830162477719e-11,19.468755263937325
rolling_contract_mpc,PHYSICALLY_INFEASIBLE,4.0,26,26,0,0,0,0,0,0,0.15823495001677657,2.481186089270702e-12,19.46875629804944
rolling_contract_mpc,SUSTAINABLE,2.0,51,51,0,0,0,0,0,0,0.15733804999035783,2.9810751089875964e-10,19.935947342004315
rolling_contract_mpc,SUSTAINABLE,4.0,26,26,0,0,0,0,0,0,0.146886974980589,2.481186089270702e-12,19.921707609157583
