method,expected_domain,period_s,controller_calls,actions_issued,hard_command_violations,physical_hard_violations,restorations,fallbacks,mathematical_infeasibility,numerical_failure,p99_solve_time_s,max_solver_residual,minimum_energy_margin_mwh
dcsv_mpc,BRIDGE,2.0,51,51,0,0,0,11,11,0,0.14333165000425652,1.8392318501536664e-09,19.499550671578096
dcsv_mpc,BRIDGE,4.0,26,26,0,0,0,3,3,0,0.1470239000118454,3.4163709534962283e-09,19.394999119690755
dcsv_mpc,PHYSICALLY_INFEASIBLE,2.0,51,51,0,0,0,0,0,0,0.1547625500097638,1.2461606909818453e-09,19.46875545560855
dcsv_mpc,PHYSICALLY_INFEASIBLE,4.0,26,26,0,0,0,0,0,0,0.14174905000982108,2.344331609332064e-12,19.468755589352224
dcsv_mpc,SUSTAINABLE,2.0,51,51,0,0,0,0,0,0,0.15126785001484677,1.2461606909818453e-09,19.935940302869998
dcsv_mpc,SUSTAINABLE,4.0,26,26,0,0,0,0,0,0,0.16042060000472702,2.344331609332064e-12,19.921700827735027
rolling_contract_mpc,BRIDGE,2.0,51,51,0,0,0,11,11,0,0.13712855000630952,1.2461606909818453e-09,19.50040326088158
rolling_contract_mpc,BRIDGE,4.0,26,26,0,0,0,3,3,0,0.1353533249857719,6.526188107286446e-09,19.402486686884107
rolling_contract_mpc,PHYSICALLY_INFEASIBLE,2.0,51,51,0,0,0,0,0,0,0.14858614999684505,1.2461606909818453e-09,19.46875545560855
rolling_contract_mpc,PHYSICALLY_INFEASIBLE,4.0,26,26,0,0,0,0,0,0,0.14744544999848586,2.344331609332064e-12,19.468755589352224
rolling_contract_mpc,SUSTAINABLE,2.0,51,51,0,0,0,0,0,0,0.15866645000642166,1.2461606909818453e-09,19.935940302869998
rolling_contract_mpc,SUSTAINABLE,4.0,26,26,0,0,0,0,0,0,0.14243147501110798,2.344331609332064e-12,19.921700827735027
