gate,status,deleted,standard_changed,stage
plant_a_minimum_scale,PASS,False,False,I6
plant_b_minimum_scale,PASS,False,False,I6
success_drop_at_most_2pp,PASS,False,False,I6
failure_aware_not_worse,PASS,False,False,I6
two_of_three_metrics_improve_8pct_positive_ci,FAIL,False,False,I6
terminal_recovery_not_worse,PASS,False,False,I6
hard_violations_zero,PASS,False,False,I6
unresolved_math_infeasibility_at_most_0p1pct,FAIL,False,False,I6
fallback_at_most_1pct,FAIL,False,False,I6
p99_below_half_period,PASS,False,False,I6
plant_a_b_direction_consistent_positive,FAIL,False,False,I6
normal1h_six_per_method_real,PASS,False,False,I6
contract_violation_not_in_guarantee_gate,PASS,False,False,I6
physical_infeasible_not_imputed_failure,PASS,False,False,I6
