scenario_id,method,plant,condition,domain,evaluation_status,physical_success,hard_violation,fallback_calls,stored_cycle_rows,representative_trace,controller_failure_detail,physical_certificate_detail,trace_storage_path
I6-A-000,dcsv_mpc,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,True,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-000,fixed_allocation_pi,A_full_nonlinear,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,True,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-001,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,150,True,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-001,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,150,True,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-002,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-002,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-003,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-003,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-004,dcsv_mpc,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-004,fixed_allocation_pi,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-005,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-005,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-006,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-006,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
